rank	openalex_id	year	doi	title	venue	type
1	W52244296	2012	https://doi.org/10.1007/978-3-642-31424-7_61	TRACER: A Symbolic Execution Tool for Verification	Lecture notes in computer science	conference-paper
2	W121457469	2013	https://doi.org/10.1007/978-3-642-37651-1_17	Interprocedural Shape Analysis for Effectively Cutpoint-Free Programs	Lecture notes in computer science	conference-paper
3	W148396834	2011		Two approaches to interprocedural data flow analysis		book
4	W157156687	2008		Automated Whitebox Fuzz Testing.		article
5	W196342399	2009		jFuzz: A Concolic Whitebox Fuzzer for Java		article
6	W208073541	2011	https://doi.org/10.1007/978-3-642-22110-1_49	KLOVER: A Symbolic Execution and Automatic Test Generation Tool for C++ Programs	Lecture notes in computer science	conference-paper
7	W1497028280	2008	https://doi.org/10.1007/978-3-540-78800-3_27	RWset: Attacking Path Explosion in Constraint-Based Test Generation	Lecture notes in computer science	conference-paper
8	W1548806133	2006	https://doi.org/10.1007/11817963_38	CUTE and jCUTE: Concolic Unit Testing and Explicit Path Model-Checking Tools	Lecture notes in computer science	conference-paper
9	W1550549614	2009	https://doi.org/10.1007/978-3-642-02658-4_41	Reducing Test Inputs Using Information Partitions	Lecture notes in computer science	conference-paper
10	W1586497944	2010	https://doi.org/10.1007/978-3-642-14295-6_10	Lazy Annotation for Program Testing and Verification	Lecture notes in computer science	conference-paper
11	W1710734607	2008	https://doi.org/10.5555/1855741.1855756	KLEE: unassisted and automatic generation of high-coverage tests for complex systems programs		article
12	W1777881387	2007	https://doi.org/10.1007/978-3-540-71209-1_12	JPF–SE: A Symbolic Execution Extension to Java PathFinder	Lecture notes in computer science	conference-paper
13	W1966982815	2005	https://doi.org/10.1145/1040305.1040334	Scalable error detection using boolean satisfiability		conference-paper
14	W1970005004	2014	https://doi.org/10.1145/2568225.2568293	Enhancing symbolic execution with veritesting		conference-paper
15	W1975191777	2013	https://doi.org/10.1145/2491411.2491425	Boosting concolic testing via interpolation		conference-paper
16	W1979693894	2012	https://doi.org/10.1145/2254064.2254088	Efficient state merging in symbolic execution		conference-paper
17	W1987647365	2013	https://doi.org/10.1145/2491411.2491447	Jalangi: a selective record-replay and dynamic analysis framework for JavaScript		conference-paper
18	W1991546210	2007	https://doi.org/10.1145/1250734.1250789	Practical memory leak detection using guarded value-flow analysis		conference-paper
19	W1992012690	2011	https://doi.org/10.1145/2049697.2049700	Compositional Shape Analysis by Means of Bi-Abduction	Journal of the ACM	article
