rank	source_id	year	doi	title	venue	type
1	d3c31aa54ee7ac3f7f99b5b97d5948b61a8498a2	2026	10.1145/3776699	Domain-Theoretic Semantics for Functional Logic Programming	Proc. ACM Program. Lang.	JournalArticle
2	3a904b325b68971ad7a7117af95cd7708c3cb3d6	2025	10.1145/3756907.3756915	Determinism Types for Functional Logic Programming	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	Book
3	6ec5b1fbaf25e7252965dcf36e435818ba4c99f8	2022	10.1145/3551357.3551370	A Monadic Implementation of Functional Logic Programs	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	Book
4	fe0a69a57676920ac2e72df2a72b5e99b3f49dda	2021	10.1145/3479394.3479411	From Non-determinism to Goroutines: A Fair Implementation of Curry in Go	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
5	da407a1fa736b89bea5f54731f4a6b2fa8c22963	2020	10.1007/978-3-030-75333-7_4	Memoized Pull-Tabbing for Functional Logic Programming	Workshop on Functional and Constraint Logic Programming	JournalArticle
6	5a472535a88dfc36afa76e65b774cdad583398c2	2020		Effectful Programming in Declarative Languages with an Emphasis on Non-Determinism: Applications and Formal Reasoning	arXiv.org	JournalArticle
7	5f4888c5debf216008f0eb3e0a198eadf2f4ad43	2018	10.1007/978-3-030-16202-3_6	Synthesizing Set Functions	Workshop on Functional and Constraint Logic Programming	JournalArticle
8	8d3b7e3d120c39feb70d9a890457945c9a2f4784	2013	10.1145/2505879.2505896	A semantics for weakly encapsulated search in functional logic programs	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
9	3747c4b08ab574c641e3713784f8d0a3ddef9529	2011	10.1007/978-3-642-22531-4_1	KiCS2: A New Compiler from Curry to Haskell	Workshop on Functional and Constraint Logic Programming	JournalArticle
10	801c96bb86a4b1577c06b89625a926dd45a3e3cf	2011	10.1017/S1471068411000263	On the correctness of pull-tabbing	Theory and Practice of Logic Programming	JournalArticle
11	b3f85c7750e5cdcf7f07e13aaa973b079e78b1d3	2012		Counterexample generation for higher-order logic using functional and logic programming		
