rank	source_id	year	doi	title	venue	type
1	ca534df531980f0f0a285297fc2b4486de1d7875	2026	10.23919/DATE69613.2026.11539745	Late Breaking Results: Conversion of Neural Networks into Logic Flows for Edge Computing	Design, Automation and Test in Europe	JournalArticle
2	4a5594b9f598426b892d3126b9e20e48c076e718	2026	10.1007/s11222-026-10826-8	Poisson Hyperplane processes with rectified linear units	Statistics and computing	JournalArticle
3	59bfbca3997b86f323491701ee93ba3ba25bae0b	2025	10.1177/03010066251379266	An eye to AI, part I: Understanding without consciousness	Perception	Editorial
4	076288d8b319fdeadb4f725080bd744133f57af6	2025	10.48550/arXiv.2509.21677	Prophecy: Inferring Formal Properties from Neuron Activations	arXiv.org	JournalArticle
5	283f68b37314cd52dc6395028a44fd895958eb51	2025	10.1007/s10994-025-06840-y	Exploration and generalization in deep learning with SwitchPath activations	Machine-mediated learning	JournalArticle
6	2b44657728c6dc8f1ffd928009d2f5f5de1bec96	2025	10.48550/arXiv.2506.04360	Even Faster Hyperbolic Random Forests: A Beltrami-Klein Wrapper Approach	arXiv.org	JournalArticle
7	970a9da99f8fdcfbda1614a560da595fafdebe36	2025	10.1007/s43681-025-00733-5	Navigating the informativeness-compression trade-off in XAI	AI and Ethics	JournalArticle
8	404da6817250986163b8a0c256204c9f65260b0b	2025	10.1002/jsde.12849	Predicting the firefighting efficacy of surfactants prior to synthesis via ensemble artificial neural network modeling of a foam performance database	Journal of Surfactants and Detergents (JSD)	JournalArticle
9	16f22cc5318b2f3864680a834b9d2049514015ab	2025	10.1109/TSC.2024.3517328	An Adaptive and Interpretable Congestion Control Service Based on Multi-Objective Reinforcement Learning	IEEE Transactions on Services Computing	JournalArticle
10	570734efb4ae9d37b1218db47deedae0c0090a75	2025	10.1109/CCNC54725.2025.10976095	Linear Decision Trees: A Comparative Study with Insights on ReLU Neural Networks	Consumer Communications and Networking Conference	JournalArticle
11	17d84e9c1bbed3842ce3b0eb7c6e251b7075350c	2024	10.48550/arXiv.2412.10513	Extracting PAC Decision Trees from Black Box Binary Classifiers: The Gender Bias Study Case on BERT-based Language Models	AAAI Conference on Artificial Intelligence	JournalArticle
12	ddac06b2f4aa29837d9fb8f5e4485048ddd2822f	2024	10.1007/s00521-024-10811-0	Analyzing feature importance with neural-network-derived trees	Neural computing & applications (Print)	JournalArticle
13	5e9c0c79ad21124594ba4f81c1c25b7ec5d89142	2024	10.1109/BioCAS61083.2024.10798396	Neural Decision Tree for Bio-TinyML	Biomedical Circuits and Systems Conference	JournalArticle
14	84510cf6a0faae6c215540069b488527b6cda39f	2024	10.1109/ISGTEUROPE62998.2024.10863007	Play With Me: Towards Explaining the Benefits of Autocurriculum Training of Learning Agents	IEEE PES Innovative Smart Grid Technologies Conference Europe	JournalArticle
15	249515ddada14d1f9fef2dbe24a37e5f6a53594b	2024	10.36948/ijfmr.2024.v06i03.20511	Machine Learning Approaches for Insurance Pricing: A Case Study of Public Liability Coverage in Morocco	International Journal For Multidisciplinary Research	JournalArticle
