rank	source_id	year	doi	title	venue	type
1	97a360c93fc089ea48f68002c447b78ba0cfc68b	2025	10.48550/arXiv.2511.09332	Distribution-Based Feature Attribution for Explaining the Predictions of Any Classifier	arXiv.org	JournalArticle
2	f9e560d27afd8925859305da675ab3bebc022561	2022	10.1145/3551349.3556916	QVIP: An ILP-based Formal Verification Approach for Quantized Neural Networks	International Conference on Automated Software Engineering	Book
3	16e8136fb2dba5ab7272484a2fc97a506ae20eec	2022	10.1145/3644387	Abstraction and Refinement: Towards Scalable and Exact Verification of Neural Networks	ACM Transactions on Software Engineering and Methodology	JournalArticle
4	d89fc14281a457af9afee3459ed2694b548fae2e	2022	10.48550/arXiv.2206.03351	AS2T: Arbitrary Source-To-Target Adversarial Attack on Speaker Recognition Systems	IEEE Transactions on Dependable and Secure Computing	JournalArticle
5	5d7d469eba0032dd287ca3ccc0319f61a18b4dc8	2022	10.48550/arXiv.2203.11386	Optimizing Binary Decision Diagrams with MaxSAT for classification	AAAI Conference on Artificial Intelligence	JournalArticle
6	033215c8c3b55c7eaf049829ff27c0ddde9de5a9	2021	10.1109/ISSRE52982.2021.00044	Eager Falsification for Accelerating Robustness Verification of Deep Neural Networks	IEEE International Symposium on Software Reliability Engineering	JournalArticle
7	d438cf1c094546aca9ec718ea6e1a768b23111ae	2021		SEC4SR: A Security Analysis Platform for Speaker Recognition	arXiv.org	JournalArticle
8	c33800d4fab35f0624c031017483925f04dc7e82	2021	10.1145/3460319.3464822	Attack as defense: characterizing adversarial examples using robustness	International Symposium on Software Testing and Analysis	Book
9	b3b796f69c9a5d5216c969e771ca62323ccf9646	2021	10.1007/978-3-030-81685-8_8	BDD4BNN: A BDD-based Quantitative Analysis Framework for Binarized Neural Networks	International Conference on Computer Aided Verification	JournalArticle
10	1bfc6f9c9db5c6646f0f3e0213d407ae14d8f7bf	2021		Beta-CROWN: Efficient Bound Propagation with Per-neuron Split Constraints for Neural Network Robustness Verification	Neural Information Processing Systems	JournalArticle
11	8101863a938b3aa1847dcae1004d8e22488b4710	2020	10.1609/aaai.v35i5.16496	Scalable Verification of Quantized Neural Networks (Technical Report)	AAAI Conference on Artificial Intelligence	JournalArticle
12	3d5bee4c82716d27fadfac86b7a552b32c1c25f0	2020	10.1145/3368089.3417918	PRODeep: a platform for robustness verification of deep neural networks	ESEC/SIGSOFT FSE	Book
13	884577a320053074d82cb496a1674961c6402436	2020	10.1007/978-3-030-72013-1_11	An SMT-Based Approach for Verifying Binarized Neural Networks	International Conference on Tools and Algorithms for Construction and Analysis of Systems	JournalArticle
14	559b7917ff2c5308de513ec053df2055cb9431b5	2020	10.1007/s11390-020-0546-7	Verifying ReLU Neural Networks from a Model Checking Perspective	Journal of Computational Science and Technology	JournalArticle
