rank	openalex_id	year	doi	title	venue	type
1	W3209351390	2024	https://doi.org/10.1016/j.dam.2024.10.021	On enumerating short projected models	Discrete Applied Mathematics	article
2	W4409921792	2025	https://doi.org/10.1016/j.artint.2025.104346	Disjoint projected enumeration for SAT and SMT without blocking clauses	Artificial Intelligence	article
3	W4393153254	2024	https://doi.org/10.1609/aaai.v38i8.28652	Disjoint Partial Enumeration without Blocking Clauses	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
4	W4286897120	2021	https://doi.org/10.4230/lipics.sat.2024.13	Entailing Generalization Boosts Enumeration	arXiv (Cornell University)	preprint
5	W4412376392	2025	https://doi.org/10.1613/jair.1.16870	On CNF Conversion for SAT and SMT Enumeration	Journal of Artificial Intelligence Research	article
6	W4361230311	2023	https://doi.org/10.4230/lipics.sat.2023.15	On CNF Conversion for Disjoint SAT Enumeration	arXiv (Cornell University)	preprint
7	W4379256180	2023	https://doi.org/10.48550/arxiv.2306.00461	Disjoint Partial Enumeration without Blocking Clauses	arXiv (Cornell University)	preprint
8	W7168152173	2026	https://doi.org/10.4230/lipics.cp.2026.51	Computing Short SAT Implicants via Ising/QUBO Encodings	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
9	W7160968973	2026		Computing Short SAT Implicants via Ising/QUBO Encodings	arXiv (Cornell University)	preprint
10	W4404306980	2024	https://doi.org/10.48550/arxiv.2410.18707	Disjoint Projected Enumeration for SAT and SMT without Blocking Clauses	arXiv (Cornell University)	preprint
