rank	source_id	year	doi	title	venue	type
1	10.29172/c8a21c51-a881-4efa-bcbe-3d0377b1a631	None	10.29172/c8a21c51-a881-4efa-bcbe-3d0377b1a631	Series expansions &amp; exact enumeration	Physics Subject Headings (PhySH)	dataset
2	10.1017/cbo9780511605826.027	2000	10.1017/cbo9780511605826.027	Exact enumeration	Diffusion and Reactions in Fractals and Disordered Systems	other
3	10.1007/11847250_13	2006	10.1007/11847250_13	edge dominating set: Efficient Enumeration-Based Exact Algorithms	Lecture Notes in Computer Science	book-chapter
4	10.2139/ssrn.5850842	2026	10.2139/ssrn.5850842	On the Consequences of Observation: Deriving Properties of the The Observation Boundary Through Categorical Enumeration at Cosmic Heat Death		posted-content
5	10.2139/ssrn.5361306	2025	10.2139/ssrn.5361306	&lt;p&gt;Exact Enumeration of Composite Numbers Using Least Prime Factors&lt;/p&gt;		posted-content
6	10.1215/00127094-2024-0037	2025	10.1215/00127094-2024-0037	Exact enumeration of fullerenes	Duke Mathematical Journal	journal-article
7	10.1016/j.vlsi.2011.11.011	2012	10.1016/j.vlsi.2011.11.011	Exact custom instruction enumeration for extensible processors	Integration	journal-article
8	10.5070/c63261985	2023	10.5070/c63261985	Exact enumeration of satisfiable 2-SAT formulae	Combinatorial Theory	journal-article
9	10.1016/0026-2714(94)90500-2	1994	10.1016/0026-2714(94)90500-2	Exact enumeration of minimal paths of partitioned networks	Microelectronics Reliability	journal-article
10	10.2139/ssrn.6205944	2026	10.2139/ssrn.6205944	Exact Pruned Route Enumeration with Set Partitioning for Multi-Pickup and Delivery Problem with Time Windows		posted-content
11	10.1016/j.dam.2005.06.009	2006	10.1016/j.dam.2005.06.009	Exact enumeration of acyclic deterministic automata	Discrete Applied Mathematics	journal-article
12	10.1111/2041-210x.14421/v2/review1	2024	10.1111/2041-210x.14421/v2/review1	"Review for ""Propagating observation errors to enable scalable and rigorous enumeration of plant population abundance with aerial imagery"""		peer-review
13	10.1111/2041-210x.14421/v1/review1	2024	10.1111/2041-210x.14421/v1/review1	"Review for ""Propagating observation errors to enable scalable and rigorous enumeration of plant population abundance with aerial imagery"""		peer-review
14	10.1201/9780203734254-2	2019	10.1201/9780203734254-2	Observation and Enumeration of Organisms	Wastewater Organisms	book-chapter
15	10.1016/j.phpro.2012.05.006	2012	10.1016/j.phpro.2012.05.006	Exact Enumeration of Self-Avoiding Walks on Percolation Clusters	Physics Procedia	journal-article
16	10.1109/dsd51259.2020.00016	2020	10.1109/dsd51259.2020.00016	Revisiting Explicit Enumeration for Exact Synthesis	2020 23rd Euromicro Conference on Digital System Design (DSD)	proceedings-article
17	10.1111/2041-210x.14421/v1/review2	2024	10.1111/2041-210x.14421/v1/review2	"Review for ""Propagating observation errors to enable scalable and rigorous enumeration of plant population abundance with aerial imagery"""		peer-review
18	10.1111/2041-210x.14421/v2/review2	2024	10.1111/2041-210x.14421/v2/review2	"Review for ""Propagating observation errors to enable scalable and rigorous enumeration of plant population abundance with aerial imagery"""		peer-review
19	10.1103/physrevb.35.2071	1987	10.1103/physrevb.35.2071	Spiral-lattice-site animals: An exact enumeration study	Physical Review B	journal-article
20	10.1088/1742-6596/410/1/012071	2013	10.1088/1742-6596/410/1/012071	Exact Enumeration of Protein Conformations from Fragment Assembly	Journal of Physics: Conference Series	journal-article
21	10.21203/rs.3.rs-9430237/v1	2026	10.21203/rs.3.rs-9430237/v1	A Compositional Exact-Search Calculus over a Single Binary Primitive: Bounded Enumeration, Macro Closure, and Stability Audits for EML Trees		posted-content
22	10.1021/acs.jctc.0c00493.s001	None	10.1021/acs.jctc.0c00493.s001	Internal Conversion and Intersystem Crossing with the Exact Factorization		component
23	10.1111/2041-210x.14421/v1/decision1	2024	10.1111/2041-210x.14421/v1/decision1	"Decision letter for ""Propagating observation errors to enable scalable and rigorous enumeration of plant population abundance with aerial imagery"""		peer-review
24	10.1016/j.cognition.2021.104815	2021	10.1016/j.cognition.2021.104815	Learning exact enumeration and approximate estimation in deep neural network models	Cognition	journal-article
25	10.3386/t0194	1996	10.3386/t0194	Exact Maximum Likelihood Estimation of Observation-Driven Econometric   Models		report
26	10.2307/jj.30019283.12	2025	10.2307/jj.30019283.12	FEDERALISM WITHOUT INTERNAL LIMITS	The Oldest Constitutional Question	book-chapter
27	10.22459/caepr22.03.2004.01	2004	10.22459/caepr22.03.2004.01	The context for observation	Making Sense of the Census: Observations of the 2001 Enumeration in Remote Aboriginal Australia	book-chapter
28	10.1111/2041-210x.14421/v2/decision1	2024	10.1111/2041-210x.14421/v2/decision1	"Decision letter for ""Propagating observation errors to enable scalable and rigorous enumeration of plant population abundance with aerial imagery"""		peer-review
29	10.1021/ma60041a028	1974	10.1021/ma60041a028	Polymer Adsorption on a Surface by an Exact Enumeration Study	Macromolecules	journal-article
30	10.1103/physreve.52.835	1995	10.1103/physreve.52.835	Randomly charged polymers: An exact enumeration study	Physical Review E	journal-article
31	10.1162/jocn_a_00349	2013	10.1162/jocn_a_00349	Multiple Object Individuation and Exact Enumeration	Journal of Cognitive Neuroscience	journal-article
32	10.4159/9780674300767-010	2025	10.4159/9780674300767-010	Chapter Eight FEDERALISM WITHOUT INTERNAL LIMITS	The Oldest Constitutional Question	book-chapter
33	10.1103/physrevlett.51.1499	1983	10.1103/physrevlett.51.1499	Exact Solution of a Directed-Site Animals-Enumeration Problem in three Dimensions.	Physical Review Letters	journal-article
34	10.2307/2347356	1988	10.2307/2347356	Algorithm AS 236: Recursive Enumeration of r × c Tables for Exact Likelihood Evaluation	Applied Statistics	journal-article
35	10.1103/physrevlett.51.853	1983	10.1103/physrevlett.51.853	Exact Solution of a Directed-Site Animals-Enumeration Problem in Three Dimensions	Physical Review Letters	journal-article
36	10.1609/aaai.v32i1.11637	2018	10.1609/aaai.v32i1.11637	Approximate and Exact Enumeration of Rule Models	Proceedings of the AAAI Conference on Artificial Intelligence	journal-article
37	10.1016/j.cpc.2004.09.011	2005	10.1016/j.cpc.2004.09.011	Exact enumeration of three-dimensional lattice proteins	Computer Physics Communications	journal-article
38	10.1007/978-3-540-28639-4_1	2004	10.1007/978-3-540-28639-4_1	Parameterized Enumeration, Transversals, and Imperfect Phylogeny Reconstruction	Lecture Notes in Computer Science	book-chapter
39	10.32614/cran.package.wex	2025	10.32614/cran.package.wex	wex: Exact Observation Weights for the Kalman Filter and Smoother	CRAN: Contributed Packages	dataset
40	10.1016/j.disc.2009.07.009	2009	10.1016/j.disc.2009.07.009	Exact and asymptotic enumeration of perfect matchings in self-similar graphs	Discrete Mathematics	journal-article
41	10.1007/s11265-021-01649-z	2021	10.1007/s11265-021-01649-z	Evaluation of the Exact Throughput of a Synchronous DataFlow Graph	Journal of Signal Processing Systems	journal-article
42	10.1137/1.9781611974775.3	2017	10.1137/1.9781611974775.3	An Exact Enumeration of Distance-Hereditary Graphs	2017 Proceedings of the Fourteenth Workshop on Analytic Algorithmics and Combinatorics (ANALCO)	proceedings-article
43	10.1016/j.cpc.2005.10.004	2006	10.1016/j.cpc.2005.10.004	Exact enumeration of the ground states of a triangular Ising antiferromagnet	Computer Physics Communications	journal-article
44	10.46298/dmtcs.327	2004	10.46298/dmtcs.327	On an open problem of Green and Losonczy: exact enumeration of freely braided permutations	Discrete Mathematics &amp; Theoretical Computer Science	journal-article
45	10.1103/physreva.41.2942	1990	10.1103/physreva.41.2942	Exact enumeration approach to the directed polymer problem	Physical Review A	journal-article
46	10.1063/1.4938021	2015	10.1063/1.4938021	Study on collapse and folding transitions of a lattice protein using exact enumeration	AIP Advances	journal-article
47	10.1103/physrevb.72.212408	2005	10.1103/physrevb.72.212408	Exact enumeration of ground states in the Sherrington-Kirkpatrick spin glass	Physical Review B	journal-article
48	10.3390/math14081298	2026	10.3390/math14081298	Split-and-Reduce: A New Exact Algorithm with Tight Multi-Order Intersection Bounds for the Quasi-Clique Enumeration Problem	Mathematics	journal-article
49	10.1016/j.cpc.2015.09.017	2016	10.1016/j.cpc.2015.09.017	Exact enumeration of conformations for two and three dimensional lattice proteins	Computer Physics Communications	journal-article
