rank	openalex_id	year	doi	title	venue	type	abstract
1	W2097297761	2015	https://doi.org/10.1109/tnano.2015.2408330	Synthesis of Majority/Minority Logic Networks	IEEE Transactions on Nanotechnology	article	As CMOS technology reaches its physical limits, new technologies such as quantum-dot cellular automata, single electron tunneling, and tunneling-phase logic are being proposed as alternatives to CMOS technology. These technologies use either majority or minority logic to implement logic functions. Existing majority/minority logic synthesis methods, based on three-feasible networks, often result in suboptimal solutions. In this paper, an efficient algorithm to find the minimal majority gate mapping, along with a majority expression look-up table (MLUT) is developed. Based on the MLUT, a comprehensive majority/minority logic synthesis technique is proposed. A redundancy removal method is also developed to further optimize the synthesized circuit. This technique makes effort toward achieving different optimization goals and results in fewer majority gates and fewer levels than previous methods. For the 29 MCNC benchmark circuits, when targeted to optimize the logic levels, there is an average reduction of 7.0% in the number of levels as well as 6.3% in the number of gates. For optimization targeted to reduce gate counts, there is an average reduction of 9.5% in the number of gates as well as 0.8% in the number of levels, as compared to the best available method.
2	W4313160059	2022	https://doi.org/10.1109/itc50671.2022.00083	PEPR: Pseudo-Exhaustive Physically-Aware Region Testing		conference-paper	Recent reports indicate that existing fault models and test metrics result in substantial manufacturing test escapes that cause major system-level challenges such as silent data corruption resulting from incorrect computations. Such test escapes are often detected today after system deployment (e.g., in the field) using a variety of synthetic and application workloads. In this work, a new test metric is investigated for detecting defects that escape existing test approaches. PEPR (Pseudo-Exhaustive Physically-Aware Region) testing comprehensively analyzes both the physical layout and the logic netlist to identify single- or multi- output sub-circuits. The resulting sub-circuits are exhaustively tested to detect timing-independent combinational (TIC) defects. Analyses demonstrate that PEPR-based scan tests detect TIC defects perfectly (100%) when examining fail data from over 30,000 14nm failing chips. In contrast, existing fault models and test metrics might result in up to 95 % of TIC defects being detected fortuitously. Strategies for addressing increased test pattern count resulting from the pseudo-exhaustive nature of PEPR testing are also discussed.
3	W2158377886	1995	https://doi.org/10.1109/43.365128	A coordinated circuit partitioning and test generation method for pseudo-exhaustive testing of VLSI circuits	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	article	In this paper, we present a circuit partitioning and test pattern generation technique for pseudo-exhaustive built-in self-testing of VLSI circuits. The circuit partitioning process divides a given circuit into a set of subcircuits which can be exhaustively tested, while the test pattern generation process generates reduced exhaustive test patterns for each subcircuit using a linear feedback shift register (LFSR). In conventional approaches, these two problems are considered separately. However, in this paper, both problems are considered and solved in the same phase. A graph theoretic model of VLSI circuits is proposed. Based on this model, a circuit partitioning algorithm using the concept of minimum vertex cut is devised to partition the circuit into a set of exhaustively testable subcircuits with restricted hardware overhead. Each time a subcircuit is generated by the partitioning algorithm, the test pattern generation problem is considered. A new algorithm, based on the subcircuit modification technique, is proposed with the objective of generating reduced exhaustive test patterns of limited length (e.g., /spl les/2/sup 20/) using LFSR's, for each of the subcircuits. This task is embedded in the circuit partitioning process itself, leading to an efficient and well-coordinated solution. Experiments using ISCAS benchmark circuit simulation have been conducted. The results demonstrate that the proposed method is very good.&gt;
4	W2007312722	2003	https://doi.org/10.1016/j.vlsi.2003.09.006	Challenges and directions for testing IC	Integration	article	
5	W2800011419	2018	https://doi.org/10.1109/iscas.2018.8350936	Parallel Pseudo-Exhaustive Testing of Array Multipliers with Data-Controlled Segmentation		conference-paper	This paper presents a new method for pseudo-exhaustive testing of standard array multipliers using a novel approach of data-controlled segmentation of the circuit. The method covers both combinational and sequential fault classes. Differently from previous papers, the proposed separate cell-testing approach targets multiple faults in different cells and avoids fault masking. The method is also applicable to other multiplier architectures like Booth and MiniMIPS with high stuck-at fault (SAF) coverage. The regular structure of the test allows efficient implementation of the method as both software based self-test (SBST) and hardware-based BIST.
6	W2146797124	2003	https://doi.org/10.1109/ftcs.1989.105582	Pseudo-exhaustive test and segmentation: formal definitions and extended fault coverage results		conference-paper	Formal definitions are presented for segments and segmentations. Under these definitions, the partitionings of a circuit are a subset of the segmentations of that circuit. The fault coverage of an exhaustive test of a segment is then examined. Multiple-output segments, which have not previously been considered in the literature, are shown to present special difficulties, resulting in the definition of a novel type of segment test set. These results are used to present a formal definition for a pseudoexhaustive test using a segmentation. This definition guarantees detection of all detectable faults within segments. Consistency with previous definitions is maintained where practical.&gt;
7	W2124267028	1988		Reconfigurable hardware for Pseudo-exhaustive test	International Test Conference	conference-paper	Two pseudo-exhaustive test pattern generator designs are presented, each capable of exhaustively testing a single segment of a circuit. The generators are reconfigurable and easily controlled by a state machine to implement full pseudo-exhaustive test.
8	W2026823121	1991	https://doi.org/10.1002/j.1538-7305.1991.tb00499.x	PEST: A Tool for Implementing Pseudo-Exhaustive Self-Test	AT&T Technical Journal	article	Multichip modules, wafer-scale integration, and three-dimensional connections are the latest solutions to building faster computers. These new technologies will shorten electron travel distance, but they will compound an existing problem: testing. Without a systematic approach, testing even a single very large-scale integrated (VLSI) chip could be impossible. This paper describes a superior built-in self-test (BIST) design methodology that solves the VLSI testing problem. Pseudo-exhaustive self-test (PEST) is a design methodology that provides effective, 100-percent fault coverage without the need for fault simulation or deterministic test generation. We used PEST, an existing software package based on the algorithms discussed here, to implement the PEST function in three VLSI designs at AT&T.
9	W2128994548	1992	https://doi.org/10.1109/cicc.1992.591300	Efficient Segmentation For Pseudo-exhaustive BIST		conference-paper	An efficient segmentation program for pseudoexhaustive testing using BIST is presented. The program manipulates the circuit's fanout-free regions using several heuristics. The results of segmenting the ISCAS benchmark circuits are compared to published results.
10	W75117943	1995		Challenges in fault detection		article	A basic capability required of fault-tolerant systems is the detection of a variety of faults. There has been a much research over the past years in this area, and many papers have been published in the various Symposia on Fault-Tolerant Computing (FTCS) which started in 1971. This paper discusses the basic problems and approaches in dealing with hardware faults and points out some of the techniques which deal with them, with particular reference to those published in the symposia. Technology trends are examined to provide an idea of problems emerging in the future, and possible directions for solution are identified.
