rank	source_id	year	doi	title	venue	type
1	10.1145/3360550	2019	10.1145/3360550	Value-centric Dynamic Partial Order Reduction	Proceedings Of The ACM On Programming Languages	journal article
2	10.1145/3632873	2024	10.1145/3632873	Coarser Equivalences For Causal Concurrency	Proceedings Of The ACM On Programming Languages	journal article
3	10.1007/978-3-031-57249-4_4	2024	10.1007/978-3-031-57249-4_4	Enhancing GenMC’s Usability And Performance	Lecture Notes In Computer Science	book chapter
4	10.1007/s10703-020-00350-4	2020	10.1007/s10703-020-00350-4	Quasi-optimal Partial Order Reduction	Formal Methods In System Design	journal article
5	10.1145/3591243	2023	10.1145/3591243	Dynamic Partial Order Reduction For Checking Correctness Against Transaction Isolation Levels	Proceedings Of The ACM On Programming Languages	journal article
6	10.1007/978-3-030-81685-8_16	2021	10.1007/978-3-030-81685-8_16	Stateless Model Checking Under A Reads-Value-From Equivalence	Computer Aided Verification	book chapter
7	10.1007/978-3-030-94583-1_20	2022	10.1007/978-3-030-94583-1_20	Stateful Dynamic Partial Order Reduction For Model Checking Event-Driven Applications That Do Not Terminate	Lecture Notes In Computer Science	book chapter
8	10.3390/sym15091775	2023	10.3390/sym15091775	Depth-First Net Unfoldings And Equivalent Reduction	Symmetry	journal article
9	10.4230/lipics.concur.2022.12	2022	10.4230/lipics.concur.2022.12	Checking Timed Büchi Automata Emptiness Using The Local-Time Semantics		proceedings
10	10.1145/3632908	2024	10.1145/3632908	Enhancing GenMC’s Usability And Performance	Lecture Notes In Computer Science	book chapter
11	10.1145/3656449	2024	10.1145/3656449	SPORE: Combining Symmetry And Partial Order Reduction	Proceedings Of The ACM On Programming Languages	journal article
12	10.1007/978-3-031-65630-9_2	2024	10.1007/978-3-031-65630-9_2	Parsimonious Optimal Dynamic Partial Order Reduction	Lecture Notes In Computer Science	book chapter
13	10.1007/978-3-030-91014-3_16	2021	10.1007/978-3-030-91014-3_16	BAM: Efficient Model Checking For Barriers	Networked Systems	book chapter
14	10.1145/3776643	2026	10.1145/3776643	The Complexity Of Testing Message-Passing Concurrency	Proceedings Of The ACM On Programming Languages	journal article
15	10.1145/3498711	2022	10.1145/3498711	Truly Stateless, Optimal Dynamic Partial Order Reduction	Proceedings Of The ACM On Programming Languages	journal article
16	10.1007/978-3-031-30823-9_5	2023	10.1007/978-3-031-30823-9_5	Reconciling Preemption Bounding With DPOR	Tools And Algorithms For The Construction And Analysis Of Systems	book chapter
17	10.1145/3531130.3533343	2022	10.1145/3531130.3533343	Abstractions For The Local-Time Semantics Of Timed Automata: A Foundation For Partial-Order Methods	Proceedings Of The 37Th Annual ACM/IEEE Symposium On Logic In Computer Science	proceedings article
18	10.1007/978-3-031-37706-8_12	2023	10.1007/978-3-031-37706-8_12	Unblocking Dynamic Partial Order Reduction	Computer Aided Verification	book chapter
19	10.1145/3591251	2023	10.1145/3591251	Optimal Reads-From Consistency Checking For C11-Style Memory Models	Proceedings Of The ACM On Programming Languages	journal article
20	10.1145/3485541	2024	10.1145/3485541	SPORE: Combining Symmetry And Partial Order Reduction	Proceedings Of The ACM On Programming Languages	journal article
21	10.1109/trustcom50675.2020.00187	2020	10.1109/trustcom50675.2020.00187	CPN Model Checking Method Of Concurrent Software Based On State Space Pruning	2020 IEEE 19Th International Conference On Trust, Security And Privacy In Computing And Communications (TrustCom)	proceedings article
22	omid:br/06023061676	2025		The Complexity Of Testing Message-Passing Concurrency		preprint
23	10.1007/978-3-030-59152-6_21	2020	10.1007/978-3-030-59152-6_21	Parallel Graph-Based Stateless Model Checking	Automated Technology For Verification And Analysis	book chapter
