rank	source_id	year	doi	title	venue	type
1	10.1109/codit.2017.8102640	2017	10.1109/codit.2017.8102640	A Strategy For Estimation In Timed Petri Nets	2017 4Th International Conference On Control, Decision And Information Technologies (CoDIT)	proceedings article
2	10.1007/s12555-012-0320-x	2012	10.1007/s12555-012-0320-x	Distributed Fault Detection And Isolation Scheme For Abrupt And Incipient Faults In A Class Of Nonlinear Systems	International Journal Of Control, Automation And Systems	journal article
3	10.1109/wodes.2016.7497858	2016	10.1109/wodes.2016.7497858	Backward Conflict Free Systems With Resources And Their Distributed Control Using Petri Nets	2016 13Th International Workshop On Discrete Event Systems (WODES)	proceedings article
4	10.1109/smc.2013.401	2013	10.1109/smc.2013.401	Marking Observer Of Labeled Petri Nets With Uncertainty In The Initial Marking	2013 IEEE International Conference On Systems, Man, And Cybernetics	proceedings article
5	10.1007/s11761-012-0118-y	2012	10.1007/s11761-012-0118-y	A Modelling Approach To Service Oriented Architecture For On-Line Diagnosis	Service Oriented Computing And Applications	journal article
6	10.1109/ictai.2014.106	2014	10.1109/ictai.2014.106	On Diagnosis Of Violations Of Constraints In Petri Net Models Of Discrete Event Systems	2014 IEEE 26Th International Conference On Tools With Artificial Intelligence	proceedings article
7	10.1016/j.arcontrol.2013.09.009	2013	10.1016/j.arcontrol.2013.09.009	Overview Of Fault Diagnosis Methods For Discrete Event Systems	Annual Reviews In Control	journal article
8	10.31577/cai_2022_1_116	2022	10.31577/cai_2022_1_116	Fault Diagnosis Of Discrete-Event Systems From Abstract Observations	Computing And Informatics	journal article
9	10.1177/0142331211409616	2011	10.1177/0142331211409616	A Fault Detection Scheme For A Class Of Distributed Discrete-Time Non-Linear Systems With Abrupt And Incipient Faults	Transactions Of The Institute Of Measurement And Control	journal article
10	10.1109/dcds.2011.5970336	2011	10.1109/dcds.2011.5970336	Fault Detection By Labeled Petri Nets And Time Constraints	2011 3Rd International Workshop On Dependable Control Of Discrete Systems	proceedings article
11	10.1016/j.ifacol.2019.09.113	2019	10.1016/j.ifacol.2019.09.113	Online Monitoring For Diagnosis Of Violations Of Constraints In Petri Net Models	IFAC-PapersOnLine	journal article
12	10.1109/tcst.2015.2391014	2015	10.1109/tcst.2015.2391014	Maximally Permissive Distributed Control Of Large Scale Automated Manufacturing Systems Modeled With Petri Nets	IEEE Transactions On Control Systems Technology	journal article
13	10.1007/978-3-642-21834-7_3	2011	10.1007/978-3-642-21834-7_3	State Estimation And Fault Detection Using Petri Nets	Applications And Theory Of Petri Nets	book chapter
14	10.1371/journal.pone.0314104	2024	10.1371/journal.pone.0314104	Insertion Attack Identification In Discrete Event Systems Using Petri Nets With An Observer	Plos One	journal article
15	10.1109/tr.2026.3656976	2026	10.1109/tr.2026.3656976	Identification Of Deletion Attacks In Discrete-Event Systems Through Petri Nets Enhanced With An Observation Structure	IEEE Transactions On Reliability	journal article
16	10.1109/icsmc.2012.6377894	2012	10.1109/icsmc.2012.6377894	Distributed Fault Detection By Labeled Petri Nets	2012 IEEE International Conference On Systems, Man, And Cybernetics (SMC)	proceedings article
17	10.1109/coase.2016.7743518	2016	10.1109/coase.2016.7743518	Mono-T-semiflow Systems With Resources And Their Distributed Control Using Petri Nets	2016 IEEE International Conference On Automation Science And Engineering (CASE)	proceedings article
18	10.1016/j.ifacol.2017.08.1240	2017	10.1016/j.ifacol.2017.08.1240	Marking Estimation In Labelled Petri Nets By The Representative Marking Graph	IFAC-PapersOnLine	journal article
19	10.1109/tsmc.2014.2353575	2015	10.1109/tsmc.2014.2353575	Marking Estimation Of P-Time Petri Nets With Unobservable Transitions	IEEE Transactions On Systems, Man, And Cybernetics: Systems	journal article
20	10.1016/j.procs.2025.07.103	2025	10.1016/j.procs.2025.07.103	Timely Diagnosis Of Discrete-Event Systems	Procedia Computer Science	journal article
21	10.1109/coase.2009.5234113	2009	10.1109/coase.2009.5234113	On-line Fault Diagnosis In A Petri Net Framework	2009 IEEE International Conference On Automation Science And Engineering	proceedings article
22	10.1007/978-981-16-2765-1_42	2021	10.1007/978-981-16-2765-1_42	Diagnosis Of Active Systems With Abstract Observability	Intelligent Decision Technologies	book chapter
23	10.1007/978-3-030-30821-6_4	2019	10.1007/978-3-030-30821-6_4	State Estimation	Communications And Control Engineering	book chapter
24	10.1109/etfa.2013.6648085	2013	10.1109/etfa.2013.6648085	A Survey On Efficient Diagnosability Tests For Automata And Bounded Petri Nets	2013 IEEE 18Th Conference On Emerging Technologies & Factory Automation (ETFA)	proceedings article
25	10.1016/j.automatica.2021.109831	2021	10.1016/j.automatica.2021.109831	Fault Diagnosis In Labelled Petri Nets: A Fourier–Motzkin Based Approach	Automatica	journal article
26	10.1016/j.arcontrol.2018.04.002	2018	10.1016/j.arcontrol.2018.04.002	On The History Of Diagnosability And Opacity In Discrete Event Systems	Annual Reviews In Control	journal article
27	10.1016/j.automatica.2009.07.021	2009	10.1016/j.automatica.2009.07.021	On-line Fault Detection In Discrete Event Systems By Petri Nets And Integer Linear Programming	Automatica	journal article
28	10.1109/tac.2016.2592952	2017	10.1109/tac.2016.2592952	Marking Observer In Labeled Petri Nets With Application To Supervisory Control	IEEE Transactions On Automatic Control	journal article
29	10.3182/20100830-3-de-4013.00023	2010	10.3182/20100830-3-de-4013.00023	Distributed State Estimation For Hybrid And Discrete Event Systems Using l-Complete Approximations	IFAC Proceedings Volumes	journal article
30	10.1109/tase.2013.2290314	2014	10.1109/tase.2013.2290314	State Estimation Of Timed Labeled Petri Nets With Unobservable Transitions	IEEE Transactions On Automation Science And Engineering	journal article
31	10.1007/s10626-021-00341-5	2021	10.1007/s10626-021-00341-5	Counter Approach For The Estimation Of Optimal Sequences In Partially Observable Untimed Petri Nets	Discrete Event Dynamic Systems	journal article
32	10.1109/tsmc.2018.2883083	2020	10.1109/tsmc.2018.2883083	A Distributed Control Approach To Automated Manufacturing Systems With Complex Routes And Operations Using Petri Nets	IEEE Transactions On Systems, Man, And Cybernetics: Systems	journal article
33	10.1016/j.scico.2024.103230	2025	10.1016/j.scico.2024.103230	Efficient Interaction-Based Offline Runtime Verification Of Distributed Systems With Lifeline Removal	Science Of Computer Programming	journal article
34	10.1016/j.ins.2021.03.033	2021	10.1016/j.ins.2021.03.033	Supervisory Control Of Discrete-Event Systems Under External Attacks	Information Sciences	journal article
35	10.1016/j.ifacol.2018.09.003	2018	10.1016/j.ifacol.2018.09.003	Partially Observed Discrete-Event Systems: From State Estimation To Intrusion Detection	IFAC-PapersOnLine	journal article
36	10.1109/tase.2013.2289360	2014	10.1109/tase.2013.2289360	Diagnosability Of Discrete-Event Systems Using Labeled Petri Nets	IEEE Transactions On Automation Science And Engineering	journal article
37	10.1016/j.procs.2024.09.466	2024	10.1016/j.procs.2024.09.466	Smart Diagnosis Of Active Systems	Procedia Computer Science	journal article
38	10.1109/tac.2010.2046106	2010	10.1109/tac.2010.2046106	The Diagnosability Of Petri Net Models Using Minimal Explanations	IEEE Transactions On Automatic Control	journal article
39	10.1007/978-3-030-30821-6_7	2019	10.1007/978-3-030-30821-6_7	Diagnosability	Communications And Control Engineering	book chapter
40	10.1109/tac.2013.2275892	2013	10.1109/tac.2013.2275892	Diagnosis Of Discrete Event Systems Using Satisfiability Algorithms: A Theoretical And Empirical Study	IEEE Transactions On Automatic Control	journal article
41	10.1109/etfa.2013.6647939	2013	10.1109/etfa.2013.6647939	State Observer Synthesis Of Real-Time Systems Modeled By P-time Petri Nets	2013 IEEE 18Th Conference On Emerging Technologies & Factory Automation (ETFA)	proceedings article
42	10.1109/control.2018.8516748	2018	10.1109/control.2018.8516748	Online Fault Diagnosis In Petri Net Models Of Discrete-Event Systems Using Fourier-Motzkin	2018 UKACC 12Th International Conference On Control (CONTROL)	proceedings article
43	10.1109/icra.2014.6907504	2014	10.1109/icra.2014.6907504	Distributed Supervisor Synthesis For Automated Manufacturing Systems Using Petri Nets	2014 IEEE International Conference On Robotics And Automation (ICRA)	proceedings article
44	10.1109/coase.2013.6654040	2013	10.1109/coase.2013.6654040	Maximally Permissive Distributed Control Of Large Scale Automated Manufacturing Systems Modeled With Petri Nets	2013 IEEE International Conference On Automation Science And Engineering (CASE)	proceedings article
45	10.1007/s12555-021-0215-9	2022	10.1007/s12555-021-0215-9	Optimistic Fault Diagnosis In Discrete Event Systems By Labeled Petri Nets And Basis Markings	International Journal Of Control, Automation And Systems	journal article
46	10.1016/j.procs.2021.08.042	2021	10.1016/j.procs.2021.08.042	Fixing Nondeterminism In Large Discrete-Event Knowledge	Procedia Computer Science	journal article
47	10.1007/978-3-031-62316-5_14	2024	10.1007/978-3-031-62316-5_14	Supporting Decision-Making In Diagnosis Of Discrete-Event Systems By Model-Based Temporal Techniques	Learning And Analytics In Intelligent Systems	book chapter
48	10.1155/jcse/5672868	2025	10.1155/jcse/5672868	Decentralized Fault Diagnosis Using ILP And Labeled Petri Nets In Manufacturing Systems	Journal Of Control Science And Engineering	journal article
49	10.1145/3372318.3372326	2019	10.1145/3372318.3372326	An Distributed Cyberattack Diagnosis Scheme For Malicious Protection Operation Based On IEC 61850	Proceedings Of The Fifth Annual Industrial Control System Security (ICSS) Workshop	proceedings article
50	10.1109/wodes.2016.7497843	2016	10.1109/wodes.2016.7497843	Fourier-Motzkin Method For Failure Diagnosis In Petri Net Models Of Discrete Event Systems	2016 13Th International Workshop On Discrete Event Systems (WODES)	proceedings article
51	10.1016/j.ifacol.2022.10.341	2022	10.1016/j.ifacol.2022.10.341	PNBA: A Software For Marking Estimation And Reconfiguration In Petri Nets Using Basis Marking Analysis	IFAC-PapersOnLine	journal article
52	10.1016/j.ssci.2019.02.009	2019	10.1016/j.ssci.2019.02.009	Applications Of Bayesian Networks And Petri Nets In Safety, Reliability, And Risk Assessments: A Review	Safety Science	journal article
53	10.1007/s00500-019-04231-9	2019	10.1007/s00500-019-04231-9	Modeling, Simulation, Estimation And Boundedness Analysis Of Discrete Event Systems	Soft Computing	journal article
54	10.1145/3586073	2023	10.1145/3586073	Niffler: Real-time Device-level Anomalies Detection In Smart Home	ACM Transactions On The Web	journal article
55	10.1109/tase.2012.2203596	2013	10.1109/tase.2012.2203596	Fault Detection By Labeled Petri Nets In Centralized And Distributed Approaches	IEEE Transactions On Automation Science And Engineering	journal article
56	10.3182/20090630-4-es-2003.00226	2009	10.3182/20090630-4-es-2003.00226	On Fault Diagnosis Of Random Free-Choice Petri Nets	IFAC Proceedings Volumes	journal article
57	10.1201/b16529-27	2014	10.1201/b16529-27	Fault Diagnosis In Petri Nets	Formal Methods In Manufacturing	book chapter
