rank	source_id	year	doi	title	venue	type
1	printed-ref-ArG77	1977	-	Some Relationships Between Asynchronous Interpreters of a Dataflow Language	IFIP WG2.2 Conference on Formal Description of Programming Languages	proceedings-article
2	printed-ref-Ber76	1976	-	Bottom-up Computation of Recursive Programs	RAIRO Informatique Théorique	journal-article
3	printed-ref-Ber78a	1978	-	Séquentialité de l'Évaluation Formelle des Lambda-Expressions	Third International Colloquium on Programming	proceedings-article
4	10.1007/3-540-08860-1_7	1978	10.1007/3-540-08860-1_7	Stable Models of Typed Lambda-Calculi	Fifth Colloquium on Automata, Languages and Programming	proceedings-article
5	printed-ref-Ber79	1979	-	Modèles Complètement Adéquats et Stables des Lambda-Calculs Typés	Université Paris VII	thesis
6	printed-ref-BrB84	1984	-	A Systematic Approach to Language Constructs for Concurrent Programs	Science of Computer Programming	journal-article
7	printed-ref-Cur85	1985	-	Categorical Combinators, Sequential Algorithms and Functional Programming	Université Paris VII	thesis
8	printed-ref-Fau82	1982	-	The Equivalence of an Operational and Denotational Semantics for Pure Dataflow	University of Warwick	thesis
9	printed-ref-Iee82	1982	-	Special Issue on Dataflow Systems	IEEE Computer	periodical
10	printed-ref-Jon87	1987	-	A Formal Semantics for a Dataflow Machine—Using VDM	Lecture Notes in Computer Science 254	book-chapter
11	printed-ref-Kah74	1974	-	The Semantics of a Simple Language for Parallel Programming	IFIP Congress 74	proceedings-article
12	printed-ref-KaP	-	-	Structures de Données Concrètes	IRIA-LABORIA Report 336	report
13	printed-ref-Kel78	1978	-	Denotational Models for Parallel Programs with Indeterminate Operators	Formal Description of Programming Concepts	book-chapter
14	printed-ref-Kon78	1978	-	A Straightforward Denotational Semantics for Nondeterminate Data Flow Programs	Fifth ACM Symposium on Principles of Programming Languages	proceedings-article
15	printed-ref-LiS89	1989	-	A Proof of the Kahn Principle for I/O Automata	Information and Computation	journal-article
16	printed-ref-LoS84	1984	-	The Foundations of Program Verification	Teubner	book
17	printed-ref-MiS76	1976	-	A Theory of Programming Language Semantics	Chapman and Hall	book
18	printed-ref-Mil77	1977	-	Fully Abstract Models of Typed Lambda-Calculi	Theoretical Computer Science	journal-article
19	printed-ref-Oli84	1984	-	The Formal Semantics of Deterministic Dataflow Programs	University of Manchester	thesis
20	10.1145/3318.3480	1985	10.1145/3318.3480	Efficient Demand-Driven Evaluation. Part 1	ACM Transactions on Programming Languages and Systems	journal-article
21	printed-ref-Pin86	1986	-	Demand Driven Evaluation on Dataflow Machines	-	thesis
22	printed-ref-Ric82	1982	-	A Dataflow Implementation of SASL	University of Manchester	thesis
23	printed-ref-ScB69	1969	-	A Theory of Programs	IBM Seminar unpublished notes	unpublished
24	printed-ref-Sco70	1970	-	Outlines of Mathematical Theory of Computation	Fourth Annual Princeton Conference on Information Sciences and Systems	proceedings-article
25	printed-ref-Sto77	1977	-	Denotational Semantics: The Scott-Strachey Approach to Programming Language Semantics	MIT Press	book
26	10.1007/3-540-07389-2_226	1975	10.1007/3-540-07389-2_226	On Representation of Sequential and Parallel Functions	Fourth Symposium on Mathematical Foundations of Computer Science	proceedings-article
27	printed-ref-Tra85	1985	-	Topics in Typed Programming Languages	Carnegie Mellon University Department of Computer Science	lecture-notes
28	printed-ref-Tur79	1979	-	A New Implementation Technique for Applicative Languages	Software—Practice & Experience	journal-article
29	printed-ref-Vui73	1973	-	Proof Techniques for Recursive Programs	Stanford University	thesis
