rank	source_id	year	doi	title	venue	type
1	citation-1	1999	-	The Design and Implementation of an Intentional Naming System	SOSP	proceedings-article
2	citation-2	2000	-	State Generation and Automated Class Testing	Software Testing Verification and Reliability	journal-article
3	citation-3	1998	-	Test Infected: Programmers Love Writing Tests	Java Report	article
4	citation-4	1990	-	Software Testing Techniques	International Thomson Computer Press	book
5	citation-5	1999	-	Structural Specification-Based Testing: Automated Support and Experimental Evaluation	FSE	proceedings-article
6	citation-6	2001	-	A Simple and Practical Approach to Unit Testing: The JML and JUnit Way	Iowa State University	technical-report
7	citation-7	2000	-	Bandera: Extracting Finite-State Models from Java Source Code	ICSE	proceedings-article
8	citation-8	1990	-	Introduction to Algorithms	MIT Press	book
9	citation-9	1999	-	A Deadlock Detection Tool for Concurrent Java Programs	Software Practice and Experience	journal-article
10	citation-10	1998	-	Extended Static Checking	Compaq Systems Research Center	technical-report
11	citation-11	1995	-	Design Patterns: Elements of Reusable Object-Oriented Software	Addison-Wesley	book
12	citation-12	1997	10.1145/263699.263717	Model Checking for Programming Languages Using VeriSoft	POPL	proceedings-article
13	citation-13	1975	10.1109/TSE.1975.6312837	Toward a Theory of Test Data Selection	IEEE Transactions on Software Engineering	journal-article
14	citation-14	1997	-	The Model Checker SPIN	IEEE Transactions on Software Engineering	journal-article
15	citation-15	1995	-	Improving Software Tests Using Z Specifications	ZUM	proceedings-article
16	citation-16	2000	-	ALCOA: The Alloy Constraint Analyzer	ICSE	proceedings-article
17	citation-17	2001	-	A Micromodularity Mechanism	FSE	proceedings-article
18	citation-18	2000	-	Finding Bugs with a Constraint Solver	ISSTA	proceedings-article
19	citation-19	2002	-	Role Analysis	POPL	proceedings-article
20	citation-20	2001	-	Preliminary Design of JML: A Behavioral Interface Specification Language for Java	Iowa State University	technical-report
21	citation-21	2000	-	Program Development in Java: Abstraction Specification and Object-Oriented Design	Addison-Wesley	book
22	citation-22	2001	10.1109/ASE.2001.989796	TestEra: A Novel Framework for Automated Testing of Java Programs	ASE	proceedings-article
23	citation-23	1993	-	Symbolic Model Checking	Kluwer Academic Publishers	book
24	citation-24	2001	-	The Pointer Assertion Logic Engine	PLDI	proceedings-article
25	citation-25	1999	-	Generating Tests from UML Specifications	UML	proceedings-article
26	citation-26	1998	-	The Unified Modeling Language Reference Manual	Addison-Wesley	book
27	citation-27	1998	-	Solving Shape-Analysis Problems in Languages with Destructive Updating	ACM Transactions on Programming Languages and Systems	journal-article
28	citation-28	1994	-	Specifying and Testing Software Components Using ADL	Sun Microsystems Laboratories	technical-report
29	citation-29	2001	-	Generating Effective Symmetry-Breaking Predicates for Search Problems	SAT Workshop	proceedings-article
30	citation-30	1996	-	The Encyclopedia of Integer Sequences	SIAM Review	journal-article
31	citation-31	1992	-	The Z Notation: A Reference Manual	Prentice Hall	book
32	citation-32	2000	10.1109/ASE.2000.873656	Model Checking Programs	ASE	proceedings-article
