rank	source_id	year	doi	title	venue	type
1	citation-1	2005	10.1016/j.jsc.2004.01.001	Operational Semantics for Declarative Multi-Paradigm Languages	Journal of Symbolic Computation	article
2	citation-2	2005		Evaluation Strategies for Functional Logic Programming	Journal of Symbolic Computation	article
3	citation-3	2007	10.1145/1273920.1273936	Computing with Subspaces	PPDP 2007	proceedings-article
4	citation-4	2002		Functional Logic Design Patterns	FLOPS 2002	proceedings-article
5	citation-5	2005		Declarative Programming with Function Patterns	LOPSTR 2005	proceedings-article
6	citation-6	2006	10.1007/11799573_9	Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
7	citation-7	2009	10.1145/1599410.1599420	Set Functions for Functional Logic Programming	PPDP 2009	proceedings-article
8	citation-8	2004		Teabag: A Functional Logic Language Debugger	WFLP 2004	proceedings-article
9	citation-9	1994	10.1145/174675.177907	A Needed Narrowing Strategy	POPL 1994	proceedings-article
10	citation-10	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
11	citation-11	2006		On the Correctness of Bubbling	RTA 2006	proceedings-article
12	citation-12	2006		Lazy Context Cloning for Non-Deterministic Graph Rewriting	Termgraph 2006	proceedings-article
13	citation-13	1996		Concurrent Programming in Erlang	Prentice Hall	book
14	citation-14	1994		On Generating Unique Names	Journal of Functional Programming	article
15	citation-15	1984		The Lambda Calculus: Its Syntax and Semantics	North-Holland	book
16	citation-16	2008		Ordnungen, Verbande und Relationen mit Anwendungen	Vieweg+Teubner	book
17	citation-17	1997		Walk Backwards to Happiness - Debugging by Time Travel	AADEBUG 1997	proceedings-article
18	citation-18	2007		A Framework for Interpreting Traces of Functional Logic Computations	Electronic Notes in Theoretical Computer Science	article
19	citation-19	2008		A Technique to Build Debugging Tools for Lazy Functional Logic Languages	WFLP 2008	proceedings-article
20	citation-20	2008		Denotation by Transformation: Towards Obtaining a Denotational Semantics by Transformation to Point-Free Style	LOPSTR 2007	proceedings-article
21	citation-21	2008		A Relation Algebraic Semantics for a Lazy Functional Logic Language	RelMiCS 2008	proceedings-article
22	citation-22	2008		From Functional Logic Programs to Purely Functional Programs Preserving Laziness	IFL 2008	proceedings-article
23	citation-23	2005		Nondeterminism Analysis of Functional Logic Programs	ICLP 2005	proceedings-article
24	citation-24	2007	10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
25	citation-25	2007	10.1007/978-3-540-76637-7_9	On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
26	citation-26	2009		The Kiel Curry System KiCS	Applications of Declarative Programming and Knowledge Management	book-chapter
27	citation-27	2008		Debugging Lazy Functional Programs by Asking the Oracle	IFL 2007	proceedings-article
28	citation-28	2004		Observing Functional Logic Computations	PADL 2004	proceedings-article
29	citation-29	2004		Encapsulating Non-Determinism in Functional Logic Computations	Journal of Functional and Logic Programming	article
30	citation-30	2004		A Semantics for Tracing Declarative Multi-Paradigm Programs	PPDP 2004	proceedings-article
31	citation-31	2005		Run-Time Profiling of Functional Logic Programs	LOPSTR 2004	proceedings-article
32	citation-32	2006		A Program Transformation for Tracing Functional Logic Computations	LOPSTR 2006 Pre-Proceedings	technical-report
33	citation-33	2007		Lazy Call-by-Value Evaluation	ICFP 2007	proceedings-article
34	citation-34	2008		Declaring Numbers	Electronic Notes in Theoretical Computer Science	article
35	citation-35	2010		Transforming Functional Logic Programs into Monadic Functional Programs	WFLP 2010	proceedings-article
36	citation-36	2004		DDT: A Declarative Debugging Tool for Functional-Logic Languages	FLOPS 2004	proceedings-article
37	citation-37	2003		Vimer: A Visual Debugger for Mercury	PPDP 2003	proceedings-article
38	citation-38	2006		A Syntactic Approach to Combining Functional Notation, Lazy Evaluation, and Higher-Order in LP Systems	FLOPS 2006	proceedings-article
39	citation-39	2007		Monadic, Prompt Lazy Assertions in Haskell	APLAS 2007	proceedings-article
40	citation-40	2001		Freja, Hat and Hood - A Comparative Evaluation of Three Systems for Tracing and Debugging Lazy Functional Programs	IFL 2000	proceedings-article
41	citation-41	1941		The Calculi of Lambda Conversion	Princeton University Press	book
42	citation-42	2000		QuickCheck: A Lightweight Tool for Random Testing of Haskell Programs	ICFP 2000	proceedings-article
43	citation-43	2007		All About Maude - A High-Performance Logical Framework: How to Specify, Program and Verify Systems in Rewriting Logic	Lecture Notes in Computer Science	book
44	citation-44	2001		Defunctionalization at Work	PPDP 2001	proceedings-article
45	citation-45	2006		Elimination of Extra Variables from Functional Logic Programs	PROLE 2006	proceedings-article
46	citation-46	2002		The Scheme Programming Language	MIT Press	book
47	citation-47	2008		Inductively Sequential Term-Graph Rewrite Systems	ICGT 2008	proceedings-article
48	citation-48	2003		Hsdebug: Debugging Lazy Programs by Not Being Lazy	technical report	technical-report
49	citation-49	2002		Value Recursion in Monadic Computations	OGI School of Science and Engineering, OHSU	technical-report
50	citation-50	2008		Data-Flow Testing of Declarative Programs	ICFP 2008	proceedings-article
51	citation-51	2009		Purely Functional Lazy Non-Deterministic Programming	ICFP 2009	proceedings-article
52	citation-52	2002		To the Gates of HAL: A HAL Tutorial	FLOPS 2002	proceedings-article
53	citation-53	2001		Debugging Haskell by Observing Intermediate Datastructures	Electronic Notes in Theoretical Computer Science	article
54	citation-54	1999		An Approach to Declarative Programming Based on a Rewriting Logic	Journal of Logic Programming	article
55	citation-55	1999		An Approach to Declarative Programming Based on a Rewriting Logic	Journal of Logic Programming	article
56	citation-56	2007		Reporting Failures in Functional Logic Programs	Electronic Notes in Theoretical Computer Science	article
57	citation-57	2007		Multi-Paradigm Declarative Languages	ICLP 2007	proceedings-article
58	citation-58	1999		Higher-Order Narrowing with Definitional Trees	Journal of Functional Programming	article
59	citation-59	1998		Demand-Driven Search in Functional Logic Programs	LIFO Research Report RR-LIFO-98-08	technical-report
60	citation-60	1997		A Concurrent Implementation of Curry in Java	ILPS 1997 Workshop on Parallelism and Implementation Technology for Constraint Logic Programming Languages	proceedings-article
61	citation-61	2005		Simple Fair and Terminating Backtracking Monad Transformer	personal web publication	web
62	citation-62	2001		Functional Programming in Clean	Clean book web publication	book
63	citation-63	1993		A Natural Semantics for Lazy Evaluation	POPL 1993	proceedings-article
64	citation-64	1999		TOY: A Multiparadigm Declarative System	RTA 1999	proceedings-article
65	citation-65	2002		Narrowing Failure in Functional Logic Programming	FLOPS 2002	proceedings-article
66	citation-66	2000		Proving Failure in Functional Logic Programs	Computational Logic 2000	proceedings-article
67	citation-67	2004		A Proof Theoretic Approach to Failure in Functional Logic Programming	Theory and Practice of Logic Programming	article
68	citation-68	2007	10.1145/1273920.1273947	A Simple Rewrite Notion for Call-Time Choice Semantics	PPDP 2007	proceedings-article
69	citation-69	1999		Ein Debugger fur Oz	Universitat des Saarlandes	thesis
