rank	source_id	year	doi	title	venue	type
1	10.1145/360248.360252	1976	10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	journal-article
2	10.1007/978-3-319-49812-6	2016	10.1007/978-3-319-49812-6	Deductive Software Verification – The KeY Book	Lecture Notes in Computer Science	book
3	10.1145/3182657	2019	10.1145/3182657	A Survey of Symbolic Execution Techniques	ACM Computing Surveys	journal-article
4	10.1145/2408776.2408795	2013	10.1145/2408776.2408795	Symbolic execution for software testing	Communications of the ACM	journal-article
5	10.1145/1064978.1065036	2005	10.1145/1064978.1065036	DART: directed automated random testing	ACM SIGPLAN Notices	journal-article
6	10.1145/1180405.1180445	2006	10.1145/1180405.1180445	EXE: automatically generating inputs of death	Proceedings of the 13th ACM conference on Computer and communications security	proceedings-article
7	13_CR7	2008		KLEE: unassisted and automatic generation of high-coverage tests for complex systems programs	OSDI	proceedings-article
8	10.1007/978-3-030-30942-8_6	2019	10.1007/978-3-030-30942-8_6	On the Nature of Symbolic Execution	Lecture Notes in Computer Science	book-chapter
9	10.1007/3-540-60761-7	1996	10.1007/3-540-60761-7	Partial-Order Methods for the Verification of Concurrent Systems	Lecture Notes in Computer Science	book
10	10.7551/mitpress/2516.001.0001	2000	10.7551/mitpress/2516.001.0001	Dynamic Logic		monograph
11	10.1007/978-3-540-71999-1	2007	10.1007/978-3-540-71999-1	All About Maude - A High-Performance Logical Framework	Lecture Notes in Computer Science	book
12	13_CR12	2011		Model Checking		reference
13	13_CR13	1991		Concurrent Programming - Principles and Practice		reference
14	10.1007/BF00268134	1976	10.1007/BF00268134	An axiomatic proof technique for parallel programs I	Acta Informatica	journal-article
15	10.1007/978-1-84882-745-5	2009	10.1007/978-1-84882-745-5	Verification of Sequential and Concurrent Programs	Texts in Computer Science	book
16	10.1016/j.ic.2013.08.004	2013	10.1016/j.ic.2013.08.004	The rewriting logic semantics project: A progress report	Information and Computation	journal-article
17	10.1007/978-3-642-25271-6_8	2011	10.1007/978-3-642-25271-6_8	ABS: A Core Language for Abstract Behavioral Specification	Lecture Notes in Computer Science	book-chapter
18	10.1007/s10270-014-0446-9	2016	10.1007/s10270-014-0446-9	Integrating deductive verification and symbolic execution for abstract object creation in dynamic logic	Software &amp; Systems Modeling	journal-article
19	10.1145/96709.96731	1989	10.1145/96709.96731	Making asynchronous parallelism safe for the world	Proceedings of the 17th ACM SIGPLAN-SIGACT symposium on Principles of programming languages  - POPL '90	proceedings-article
20	10.1145/2544173.2509553	2013	10.1145/2544173.2509553	Steering symbolic execution to less traveled paths	ACM SIGPLAN Notices	journal-article
21	10.1145/2786805.2786841	2015	10.1145/2786805.2786841	Assertion guided symbolic execution of multithreaded programs	Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering	proceedings-article
22	10.1145/2345156.2254088	2012	10.1145/2345156.2254088	Efficient state merging in symbolic execution	ACM SIGPLAN Notices	journal-article
23	10.1007/978-3-319-47846-3_5	2016	10.1007/978-3-319-47846-3_5	A General Lattice Model for Merging Symbolic Execution Branches	Lecture Notes in Computer Science	book-chapter
24	10.1007/978-3-540-78800-3_27	2008	10.1007/978-3-540-78800-3_27	RWset: Attacking Path Explosion in Constraint-Based Test Generation	Lecture Notes in Computer Science	book-chapter
25	10.1145/1047659.1040315	2005	10.1145/1047659.1040315	Dynamic partial-order reduction for model checking software	ACM SIGPLAN Notices	journal-article
26	10.1007/3-540-36577-X_40	2003	10.1007/3-540-36577-X_40	Generalized Symbolic Execution for Model Checking and Testing	Lecture Notes in Computer Science	book-chapter
27	13_CR27	2004		Test input generation with Java PathFinder	ACM SIGSOFT Software Engineering Notes	journal-article
28	13_CR28	2015		Deductive verification of concurrent programs	Karlsruher Institut für Technologie	technical-report
29	10.1109/SEFM.2007.1	2007	10.1109/SEFM.2007.1	A Dynamic Logic for Deductive Verification of Concurrent Programs	Fifth IEEE International Conference on Software Engineering and Formal Methods (SEFM 2007)	proceedings-article
30	10.1016/j.scico.2010.08.003	2012	10.1016/j.scico.2010.08.003	A system for compositional verification of asynchronous objects	Science of Computer Programming	journal-article
31	10.1016/j.tcs.2006.07.031	2006	10.1016/j.tcs.2006.07.031	Creol: A type-safe object-oriented model for distributed concurrent systems	Theoretical Computer Science	journal-article
32	10.1016/j.entcs.2008.04.084	2008	10.1016/j.entcs.2008.04.084	Observable Behavior of Dynamic Systems: Component Reasoning for Concurrent Objects	Electronic Notes in Theoretical Computer Science	journal-article
33	10.1145/22145.22172	1985	10.1145/22145.22172	Concurrent dynamic logic	Proceedings of the seventeenth annual ACM symposium on Theory of computing  - STOC '85	proceedings-article
34	10.1016/0022-0000(87)90035-3	1987	10.1016/0022-0000(87)90035-3	Communication in concurrent dynamic logic	Journal of Computer and System Sciences	journal-article
35	10.1093/logcom/exu001	2014	10.1093/logcom/exu001	Propositional dynamic logics for communicating concurrent programs with CCS's parallel operator	Journal of Logic and Computation	journal-article
