rank	source_id	year	doi	title	venue	type
1	citation-1	1997	-	Modularity for Timed and Hybrid Systems	CONCUR	article
2	citation-2	2001	-	Hierarchical Hybrid Modeling of Embedded Systems	EMSOFT	article
3	citation-3	1996	10.1016/0166-218X(95)00026-N	Reverse Search for Enumeration	Discrete Applied Mathematics	journal-article
4	citation-4	2000	-	Automotive Engine Control and Hybrid Systems: Challenges and Opportunities	Proceedings of the IEEE	journal-article
5	citation-5	2002	-	An Efficient Technique for Translating Mixed Logical Dynamical Systems into Piecewise Affine Systems	CDC	proceedings-article
6	citation-6	2000	-	MIQP.M: A Matlab Function for Solving Mixed Integer Quadratic Programs	ETH Zurich	manual
7	citation-7	1999	-	Control of Systems Integrating Logic, Dynamics and Constraints	Automatica	journal-article
8	citation-8	2008	-	Composing Hybrid Systems	CDC	proceedings-article
9	citation-9	2001	-	A Hybrid Approach to Traction Control	HSCC	proceedings-article
10	citation-10	1943	10.2307/2303424	Partition of Space	American Mathematical Monthly	journal-article
11	citation-11	1974	-	Graph Theory with Applications to Engineering and Computer Science	Prentice-Hall	book
12	citation-12	1993	-	A Fast and Effective Heuristic for the Feedback Arc Set Problem	Information Processing Letters	journal-article
13	citation-13	2002	-	Modeling and Control of a Multi-Vehicle System Using Mixed Integer Linear Programming	CDC	proceedings-article
14	citation-14	1987	-	Algorithms in Combinatorial Geometry	Springer	book
15	citation-15	2001	-	Cuts, Zonotopes and Arrangements	EPFL	technical-report
16	citation-16	2005	-	Low Complexity Model Predictive Control in Power Electronics and Power Systems	ETH Zurich	dissertation
17	citation-17	2003	10.1007/3-540-36580-X_18	Efficient Mode Enumeration of Compositional Hybrid Systems	HSCC	proceedings-article
18	citation-18	2008	10.1016/j.automatica.2007.11.027	Optimal Complexity Reduction of Polyhedral Piecewise Affine Systems	Automatica	journal-article
19	citation-19	2001	-	Equivalence of Hybrid Dynamical Models	Automatica	journal-article
20	citation-20	2001	-	Assume-Guarantee Reasoning for Hierarchical Hybrid Systems	HSCC	proceedings-article
21	citation-21	2001	-	Hybrid Modeling of TCP Congestion Control	HSCC	proceedings-article
22	citation-22	2002	-	CPLEX 8.0 User Manual	ILOG	manual
23	citation-23	2004	-	Multi-Parametric Toolbox (MPT)	HSCC	proceedings-article
24	citation-24	2002	-	Predictive Control	Prentice Hall	book
25	citation-25	2002	-	Control and Estimation of Hybrid Systems with Mathematical Optimization	ETH Zurich	dissertation
26	citation-26	2004	-	A New Technique for Translating Discrete Hybrid Automata into Piecewise Affine Systems	-	journal-article
27	citation-27	1999	-	Hybrid Systems: Modeling, Analysis and Control — Open Hybrid Automata and Composition	UC Berkeley	lecture-notes
28	citation-28	1981	-	Nonlinear Regulation: The Piecewise Linear Approach	IEEE Transactions on Automatic Control	journal-article
29	citation-29	1996	-	Interconnected Automata and Linear Systems: A Theoretical Framework in Discrete-Time	Hybrid Systems III	book-chapter
30	citation-30	2001	-	Discrete-Time Hybrid Modeling and Verification	CDC	proceedings-article
31	citation-31	2004	-	HYSDEL — A Tool for Generating Computational Hybrid Models for Analysis and Synthesis Problems	IEEE Transactions on Control Systems Technology	journal-article
32	citation-32	1998	-	Complementarity Modelling of Hybrid Systems	IEEE Transactions on Automatic Control	journal-article
33	citation-33	2004	-	A New Algorithm for Translating MLD Systems into PWA Systems	American Control Conference	proceedings-article
