rank	source_id	year	doi	title	venue	type
1	citation-1	2005		Operational Semantics for Declarative Multi-Paradigm Languages	Journal of Symbolic Computation	article
2	citation-2	2010		The Pull-Tab Transformation	GCM 2010	proceedings-article
3	citation-3	2011		On the Correctness of Pull-Tabbing	Theory and Practice of Logic Programming	article
4	citation-4	2000		A Needed Narrowing Strategy	Journal of the ACM	article
5	citation-5	2000		Compiling Multi-Paradigm Declarative Programs into Prolog	FroCoS 2000	proceedings-article
6	citation-6	2006		Overlapping Rules and Logic Variables in Functional Logic Programs	ICLP 2006	proceedings-article
7	citation-7	2010		Functional Logic Programming	Communications of the ACM	article
8	citation-8	2012		Contracts and Specifications for Functional Logic Programming	PADL 2012	proceedings-article
9	citation-9	2020		ICurry	DECLARE 2019	proceedings-article
10	citation-10	2005		A Virtual Machine for Functional Logic Computations	IFL 2004	proceedings-article
11	citation-11	2016		A New Functional-Logic Compiler for Curry: Sprite	LOPSTR 2016	proceedings-article
12	citation-12	2012		Compiling a Functional Logic Language: The Basic Scheme	FLOPS 2012	proceedings-article
13	citation-13	2011		KiCS2: A New Compiler from Curry to Haskell	WFLP 2011	proceedings-article
14	citation-14	2013		Implementing Equational Constraints in a Functional Language	PADL 2013	proceedings-article
15	citation-15	2007		On a Tighter Integration of Functional and Logic Programming	APLAS 2007	proceedings-article
16	citation-16	2011		Purely Functional Lazy Nondeterministic Programming	Journal of Functional Programming	article
17	citation-17	1999		An Approach to Declarative Programming Based on a Rewriting Logic	Journal of Logic Programming	article
18	citation-18	2012	10.4230/LIPIcs.ICLP.2012.130	Improving Lazy Non-Deterministic Computations by Demand Analysis	ICLP 2012 Technical Communications	proceedings-article
19	citation-19	2018		PAKCS: The Portland Aachen Kiel Curry System	software	software
20	citation-20	2012		Search Strategies for Functional Logic Programming	ATPS 2012	proceedings-article
21	citation-21	2016		Curry: An Integrated Functional Logic Language (Version 0.9.0)	Curry language specification	report
22	citation-22	1992		Nondeterministic Algebraic Specifications and Nonconfluent Term Rewriting	Journal of Logic Programming	article
23	citation-23	1993		A Natural Semantics for Lazy Evaluation	POPL 1993	proceedings-article
24	citation-24	1993		A Demand Driven Computation Strategy for Lazy Narrowing	PLILP 1993	proceedings-article
25	citation-25	1999		TOY: A Multiparadigm Declarative System	RTA 1999	proceedings-article
26	citation-26	1993		The nofib Benchmark Suite of Haskell Programs	Glasgow Workshop on Functional Programming	proceedings-article
27	citation-27	2003		Haskell 98 Language and Libraries: The Revised Report	Cambridge University Press	book
28	citation-28	1999		Term Graph Rewriting	Handbook of Graph Grammars and Computing by Graph Transformation	book-chapter
29	citation-29	1983		An Abstract Prolog Instruction Set	SRI International	technical-report
30	citation-30	2018		Generic Translation of Curry Programs into Imperative Programs	Kiel University	thesis
