rank	source_id	year	doi	title	venue	type
1	10.1007/978-3-540-30538-5_9	2004	10.1007/978-3-540-30538-5_9	A Decidable Fragment of Separation Logic	Lecture Notes in Computer Science	book-chapter
2	10.1145/2491956.2462186	2013	10.1145/2491956.2462186	Thresher: Precise Refutations for Heap Reachability	Proceedings of the 34th ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
3	10.1145/566171.566191	2002	10.1145/566171.566191	Korat: Automated Testing Based on Java Predicates	ACM SIGSOFT Software Engineering Notes	journal-article
4	10.1145/2786805.2786842	2015	10.1145/2786805.2786842	Symbolic execution of programs with heap inputs	Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering	proceedings-article
5	10.1145/2603088.2603091	2014	10.1145/2603088.2603091	A decision procedure for satisfiability in separation logic with inductive predicates	Proceedings of the Joint Meeting of the Twenty-Third EACSL Annual Conference on Computer Science Logic (CSL) and the Twenty-Ninth Annual ACM/IEEE Symposium on Logic in Computer Science (LICS)	proceedings-article
6	10_CR6			Cadar, C., Dunbar, D., Engler, D.R.: Klee: Unassisted and automatic generation of high-coverage tests for complex systems programs. In: Proceedings of the 8th USENIX Conference on Operating Systems Design and Implementation OSDI 2008, pp. 209–224. USENIX Association, Berkeley (2008)		reference
7	10.1016/j.future.2012.02.006	2013	10.1016/j.future.2012.02.006	State of the art: Dynamic symbolic execution for automated test generation	Future Generation Computer Systems	journal-article
8	10.1007/978-3-642-23217-6_16	2011	10.1007/978-3-642-23217-6_16	Tractable Reasoning in a Fragment of Separation Logic	Lecture Notes in Computer Science	book-chapter
9	10.1109/ASE.2006.26	2006	10.1109/ASE.2006.26	Bogor/Kiasan: A k-bounded Symbolic Execution for Checking Strong Heap Properties of Open Systems	21st IEEE/ACM International Conference on Automated Software Engineering (ASE'06)	proceedings-article
10	10.1109/TAIC.PART.2007.32	2007	10.1109/TAIC.PART.2007.32	Kiasan/KUnit: Automatic Test Case Generation and Analysis Feedback for Open Object-oriented Systems	Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007)	proceedings-article
11	10.1109/SEFM.2007.43	2007	10.1109/SEFM.2007.43	Towards A Case-Optimal Symbolic Execution Algorithm for Analyzing Strong Properties of Object-Oriented Programs	Fifth IEEE International Conference on Software Engineering and Formal Methods (SEFM 2007)	proceedings-article
12	10.1145/1993498.1993565	2011	10.1145/1993498.1993565	Precise and compact modular procedure summaries for heap manipulating programs	Proceedings of the 32nd ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
13	10.1145/2693208.2693248	2015	10.1145/2693208.2693248	The Dart, the Psyco, and the Doop	ACM SIGSOFT Software Engineering Notes	journal-article
14	10.1145/1572272.1572288	2009	10.1145/1572272.1572288	Precise pointer reasoning for dynamic test generation	Proceedings of the eighteenth international symposium on Software testing and analysis	proceedings-article
15	10.1016/0304-3975(92)90014-7	1992	10.1016/0304-3975(92)90014-7	The revised report on the syntactic theories of sequential control and state	Theoretical Computer Science	journal-article
16	10.1007/978-3-662-46081-8_22	2015	10.1007/978-3-662-46081-8_22	Automatic Inference of Heap Properties Exploiting Value Domains	Lecture Notes in Computer Science	book-chapter
17	10.1007/978-3-319-23404-5_15	2015	10.1007/978-3-319-23404-5_15	Model Counting for Complex Data Structures	Lecture Notes in Computer Science	book-chapter
18	10.1145/2642937.2642940	2014	10.1145/2642937.2642940	Taming test inputs for separation assurance	Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering	proceedings-article
19	10.1145/2557833.2560579	2014	10.1145/2557833.2560579	Towards a lazier symbolic pathfinder	ACM SIGSOFT Software Engineering Notes	journal-article
20	10_CR20			Hillery, B., Mercer, E., Rungta, N., Person, S.: Exact heap summaries for symbolic execution. Technical report, Brigham Young University (2015). http://students.cs.byu.edu/egm/papers/SH-long.pdf		reference
21	10.1007/3-540-36577-X_40	2003	10.1007/3-540-36577-X_40	Generalized Symbolic Execution for Model Checking and Testing	Lecture Notes in Computer Science	book-chapter
22	10.1007/978-3-540-78800-3_24	2008	10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	Lecture Notes in Computer Science	book-chapter
23	10.1145/1993316.1993563	2011	10.1145/1993316.1993563	Separation logic + superposition calculus = heap theorem prover	ACM SIGPLAN Notices	journal-article
24	10.1145/1993316.1993558	2011	10.1145/1993316.1993558	Directed incremental symbolic execution	ACM SIGPLAN Notices	journal-article
25	10.1007/978-3-319-08867-9_47	2014	10.1007/978-3-319-08867-9_47	Automating Separation Logic with Trees and Data	Lecture Notes in Computer Science	book-chapter
26	10.1007/s10515-013-0122-2	2013	10.1007/s10515-013-0122-2	Symbolic PathFinder: integrating symbolic execution with model checking for Java bytecode analysis	Automated Software Engineering	journal-article
27	10.1109/ESEM.2011.20	2011	10.1109/ESEM.2011.20	A Case Study of Concolic Testing Tools and their Limitations	2011 International Symposium on Empirical Software Engineering and Measurement	proceedings-article
28	10.1109/TSE.2015.2389225	2015	10.1109/TSE.2015.2389225	BLISS: Improved Symbolic Execution by\\ Bounded Lazy Initialization with SAT Support	IEEE Transactions on Software Engineering	journal-article
29	10.1017/CBO9780511777110	2011	10.1017/CBO9780511777110	Introduction to Bisimulation and Coinduction	Cambridge University Press	book
30	10.1145/2786805.2786830	2015	10.1145/2786805.2786830	MultiSE: multi-path symbolic execution using value summaries	Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering	proceedings-article
31	10.1007/978-3-540-79124-9_10	2008	10.1007/978-3-540-79124-9_10	Pex–White Box Test Generation for .NET	Lecture Notes in Computer Science	book-chapter
32	10.1145/2594291.2594340	2014	10.1145/2594291.2594340	A lightweight symbolic virtual machine for solver-aided host languages	Proceedings of the 35th ACM SIGPLAN Conference on Programming Language Design and Implementation	proceedings-article
33	10.1145/1013886.1007526	2004	10.1145/1013886.1007526	Test input generation with java PathFinder	ACM SIGSOFT Software Engineering Notes	journal-article
34	10_CR34			Wesonga, S.O.: Javalite - An Operational Semantics for Modeling Java Programs. Master’s thesis, Brigham Young University, Provo UT (2012)		reference
35	10.1145/1047659.1040334	2005	10.1145/1047659.1040334	Scalable error detection using boolean satisfiability	ACM SIGPLAN Notices	journal-article
36	10.1145/1328897.1328467	2008	10.1145/1328897.1328467	Generating precise and concise procedure summaries	ACM SIGPLAN Notices	journal-article
