rank	source_id	year	doi	title	venue	type
1	https://doi.org/10.1007/978-3-319-30936-1_14	2016	https://doi.org/10.1007/978-3-319-30936-1_14	The Essence of Dependent Object Types	A List of Successes That Can Change the World	book-chapter
2	citation-2	2014		Instruction sets should be free: The case for RISC-V	UCB/EECS-2014-146	report
3	https://doi.org/10.1145/2568225.2568293	2014	https://doi.org/10.1145/2568225.2568293	Enhancing Symbolic Execution with Veritesting	ICSE	conference-paper
4	https://doi.org/10.1145/3182657	2018	https://doi.org/10.1145/3182657	A Survey of Symbolic Execution Techniques	ACM Computing Surveys	article
5	https://doi.org/10.1007/978-3-540-30569-9_3	2004	https://doi.org/10.1007/978-3-540-30569-9_3	The Spec# Programming System: An Overview	CASSIS	conference-paper
6	citation-6	2013		On Verification by Translation to Recursive Functions	Technical report	report
7	https://doi.org/10.1145/2872362.2872406	2016	https://doi.org/10.1145/2872362.2872406	Specifying and Checking File System Crash-Consistency Models	ASPLOS	conference-paper
8	https://doi.org/10.1145/3276519	2018	https://doi.org/10.1145/3276519	Finding Code That Explodes under Symbolic Evaluation	Proceedings of the ACM on Programming Languages	article
9	https://doi.org/10.1145/800027.808445	1975	https://doi.org/10.1145/800027.808445	SELECT—a Formal System for Testing and Debugging Programs by Symbolic Execution	International Conference on Reliable Software	conference-paper
10	https://doi.org/10.1007/978-3-642-00768-2_16	2009	https://doi.org/10.1007/978-3-642-00768-2_16	Boolector: An Efficient SMT Solver for Bit-Vectors and Arrays	TACAS	conference-paper
11	citation-11	2008		KLEE: Unassisted and Automatic Generation of High-Coverage Tests for Complex Systems Programs	OSDI	conference-paper
12	https://doi.org/10.1145/1455518.1455522	2008	https://doi.org/10.1145/1455518.1455522	EXE: Automatically Generating Inputs of Death	ACM Transactions on Information and System Security	article
13	https://doi.org/10.1145/3158150	2017	https://doi.org/10.1145/3158150	Bonsai: Synthesis-Based Reasoning for Type Systems	Proceedings of the ACM on Programming Languages	article
14	citation-14	2017		Cosette: An Automated Prover for SQL	CIDR	conference-paper
15	https://doi.org/10.1007/978-3-540-24730-2_15	2004	https://doi.org/10.1007/978-3-540-24730-2_15	A Tool for Checking ANSI-C Programs	TACAS	conference-paper
16	https://doi.org/10.1145/91556.91622	1990	https://doi.org/10.1145/91556.91622	Abstracting Control	LFP	conference-paper
17	https://doi.org/10.1145/3110256	2017	https://doi.org/10.1145/3110256	Abstracting Definitional Interpreters (Functional Pearl)	Proceedings of the ACM on Programming Languages	article
18	https://doi.org/10.1016/1385-7258(72)90034-0	1972	https://doi.org/10.1016/1385-7258(72)90034-0	Lambda calculus notation with nameless dummies, a tool for automatic formula manipulation, with application to the Church-Rosser theorem	Indagationes Mathematicae (Proceedings)	article
19	https://doi.org/10.1145/1995376.1995394	2011	https://doi.org/10.1145/1995376.1995394	Satisfiability Modulo Theories: Introduction and Applications	Communications of the ACM	article
20	https://doi.org/10.1145/1146238.1146251	2006	https://doi.org/10.1145/1146238.1146251	Modular Verification of Code with SAT	ISSTA	conference-paper
21	https://doi.org/10.1145/1287624.1287653	2007	https://doi.org/10.1145/1287624.1287653	Finding Bugs Efficiently with a SAT Solver	ESEC/FSE	conference-paper
22	https://doi.org/10.1145/3110271	2017	https://doi.org/10.1145/3110271	Compiling to Categories	Proceedings of the ACM on Programming Languages	article
23	https://doi.org/10.1145/1190216.1190226	2007	https://doi.org/10.1145/1190216.1190226	Compositional Dynamic Test Generation	POPL	conference-paper
24	https://doi.org/10.1145/1065010.1065036	2005	https://doi.org/10.1145/1065010.1065036	DART: Directed Automated Random Testing	PLDI	conference-paper
