rank	source_id	year	doi	title	venue	type
1	10.1007/BF00121128	1992	10.1007/BF00121128	Memory-efficient algorithms for the verification of temporal properties	Formal Methods in System Design	journal article
2	354073_CR2	1995		Simple on-the-fly automatic verification of linear temporal logic	Protocol Specification Testing and Verification	conference paper
3	354073_CR3	1990		Using partial orders to improve automatic verification methods	Computer Aided Verification	conference paper
4	10.1007/3-540-56922-7_36	1993	10.1007/3-540-56922-7_36	Refining dependencies improves partial order verification methods	Computer Aided Verification	conference paper
5	10.1109/LICS.1991.151664	1991	10.1109/LICS.1991.151664	A partial approach to model checking	IEEE Symposium on Logic in Computer Science	conference paper
6	354073_CR6	1990		Design and Validation of Communication Protocols	Prentice Hall	book
7	10.1007/BF02252682	1992	10.1007/BF02252682	Verification of distributed programs using representative interleaving sequences	Distributed Computing	journal article
8	10.1016/0304-3975(92)90054-J	1992	10.1016/0304-3975(92)90054-J	Defining conditional independence using collapses	Theoretical Computer Science	journal article
9	354073_CR9	1998		A verification oriented theory of data in labeled transition system	Tampere University of Technology	doctoral thesis
10	354073_CR10	1983		What good is temporal logic	Information Processing 83	conference paper
11	10.1007/3-540-56922-7_34	1993	10.1007/3-540-56922-7_34	All from one, one for all, on model-checking using representatives	Computer Aided Verification	conference paper
12	10.1007/BF00121262	1996	10.1007/BF00121262	Combining partial order reductions with on-the-fly model-checking	Formal Methods in System Design	journal article
13	10.1016/S0304-3975(97)00219-3	1998	10.1016/S0304-3975(97)00219-3	An algorithmic approach for checking closure properties of temporal logic specification and ω-regular languages	Theoretical Computer Science	journal article
14	10.1109/SFCS.1977.32	1977	10.1109/SFCS.1977.32	The temporal logic of programs	IEEE Symposium on Foundations of Computer Science	conference paper
15	354073_CR15	1989		Stubborn sets for reduced state space generation	Application and Theory of Petri Nets	conference paper
16	10.1007/BF00709154	1992	10.1007/BF00709154	A stubborn attack on state explosion	Formal Methods in System Design	journal article
17	10.1007/3-540-56922-7_33	1993	10.1007/3-540-56922-7_33	On-the-fly verification with stubborn sets	Computer Aided Verification	conference paper
18	354073_CR18	1986		An automata-theoretic approach to automatic program verification	IEEE Symposium on Logic in Computer Science	conference paper
19	10.1109/LICS.1996.561357	1996	10.1109/LICS.1996.561357	Partial-order methods for model checking: From linear time to branching time	IEEE Symposium on Logic in Computer Science	conference paper
