rank	source_id	year	doi	title	venue	type
1	citation-1	2011		Satisfiability Modulo Theories: Introduction and Applications	Communications of the ACM	article
2	citation-2	2008		The MathSAT 4 SMT Solver	CAV 2008	proceedings-article
3	citation-3	2007		Computing Predicate Abstractions by Integrating BDDs and SMT Solvers	FMCAD 2007	proceedings-article
4	citation-4	2009		Structure-Aware Computation of Predicate Abstraction	FMCAD 2009	proceedings-article
5	citation-5	2013		Installation Optimisation	US Patent Application 13/623,977	patent
6	citation-6	1999		Symbolic Model Checking without BDDs	TACAS 1999	proceedings-article
7	citation-7			LattE	project website	web-resource
8	citation-8	2007		A Static Analysis for Quantifying Information Flow in a Simple Imperative Language	Journal of Computer Security	article
9	citation-9	2008		Z3: An Efficient SMT Solver	TACAS 2008	proceedings-article
10	citation-10	2010		The SMT-LIB Standard: Version 2.0	SMT Workshop 2010	report
11	citation-11	2010		Symbolic PathFinder: Symbolic Execution of Java Bytecode	ASE 2010	proceedings-article
12	citation-12	2004		A Tool for Checking ANSI-C Programs	TACAS 2004	proceedings-article
13	citation-13	1986		A Structure-Preserving Clause Form Translation	Journal of Symbolic Computation	article
14	citation-14	1992		An Optimality Result for Clause Form Translation	Journal of Symbolic Computation	article
15	citation-15	2007		Lazy Satisfiability Modulo Theories	Journal on Satisfiability, Boolean Modeling and Computation	article
16	citation-16	1962		A Machine Program for Theorem-Proving	Communications of the ACM	article
17	citation-17	2003		Behavioral Consistency of C and Verilog Programs Using Bounded Model Checking	DAC 2003	proceedings-article
18	citation-18	1989		An Efficient Method of Computing Static Single Assignment Form	POPL 1989	proceedings-article
19	citation-19	1976		Symbolic Execution and Program Testing	Communications of the ACM	article
20	citation-20	1980		A User-Oriented Software Reliability Model	IEEE Transactions on Software Engineering	article
21	citation-21	2013		Reliability Analysis in Symbolic PathFinder	ICSE 2013	proceedings-article
22	citation-22	2007		Assessing Security Threats of Looping Constructs	POPL 2007	proceedings-article
23	citation-23	2014		Quantifying Information Leaks Using Reliability Analysis	SPIN 2014	proceedings-article
24	citation-24	1982		Cryptography and Data Security	Addison-Wesley	book
25	citation-25	2008		Lagrange Multipliers and Maximum Information Leakage in Different Observational Models	PLAS 2008	proceedings-article
26	citation-26	2009		On the Foundations of Quantitative Information Flow	FoSSaCS 2009	proceedings-article
27	citation-27	2010		Quantifying Information Leaks in Software	ACSAC 2010	proceedings-article
28	citation-28	2011		Calculating Bounds on Information Leakage Using Two-Bit Patterns	PLAS 2011	proceedings-article
29	citation-29	2012		Symbolic Quantitative Information Flow	SIGSOFT Software Engineering Notes	article
30	citation-30	2013		SAT-Based Analysis and Quantification of Information Flow in Programs	QEST 2013	proceedings-article
31	citation-31	2013		Faster Two-Bit Pattern Analysis of Leakage	QASA 2013	proceedings-article
32	citation-32	2014		Abstract Model Counting: A Novel Approach for Quantification of Information Leaks	ASIACCS 2014	proceedings-article
33	citation-33	2015		Model Counting Modulo Theories	Queen Mary University of London	thesis
34	citation-34			Symbolic PathFinder's Source Code	project website	software
35	citation-35	2014		Benchmarks of Loops in the Software Verification 2014 Competition 2014	SV-COMP benchmark repository	dataset
36	citation-36	2006		Solving SAT and SAT Modulo Theories: From an Abstract Davis–Putnam–Logemann–Loveland Procedure to DPLL(T)	Journal of the ACM	article
37	citation-37	2009		Measuring Channel Capacity to Distinguish Undue Influence	PLAS 2009	proceedings-article
38	citation-38	2002		Verisim: Formal Analysis of Network Simulations	IEEE Transactions on Software Engineering	article
39	citation-39	2003		From Symptom to Cause: Localizing Errors in Counterexample Traces	POPL 2003	proceedings-article
40	citation-40	2008		FShell: Systematic Test Case Generation for Dynamic Analysis and Measurement	CAV 2008	proceedings-article
41	citation-41	2014		Symbolic Execution as DPLL Modulo Theories	Imperial College Computing Student Workshop 2014	proceedings-article
42	citation-42	2006		SMT Techniques for Fast Predicate Abstraction	CAV 2006	proceedings-article
