rank	source_id	year	doi	title	venue	type
1	printed-ref-1	1977	-	Some Relationships Between Asynchronous Interpreters of a Dataflow Language	Formal Description of Programming Languages	book-chapter
2	printed-ref-2	1978	-	An Asynchronous Programming Language and Computing Machine	University of California, Irvine Technical Report 114a	report
3	printed-ref-3	1980	-	A Dataflow Architecture with Tagged Tokens	1980 International Conference on Circuits and Computers	proceedings-article
4	printed-ref-4	1978	-	Can Programming Be Liberated from the von Neumann Style? A Functional Style and Its Algebra of Programs	Communications of the ACM	journal-article
5	printed-ref-5	1975	-	Recursive Programming Techniques	Addison-Wesley	book
6	printed-ref-6	1974	-	First Version of a Data Flow Procedure Language	Programming Symposium: Proceedings, Colloque sur la Programmation	proceedings-article
7	printed-ref-7	1976	-	CONS Should Not Evaluate Its Arguments	Automata, Languages, and Programming	proceedings-article
8	printed-ref-8	1980	-	Functional Programming: Application and Implementation	Prentice/Hall International	book
9	printed-ref-9	1979	-	The Equivalence of R.E. Programs and Dataflow Schemas	MIT Laboratory for Computer Science Technical Report TM-121	report
10	printed-ref-10	1974	-	The Semantics of a Simple Language for Parallel Programming	IFIP Congress 74	proceedings-article
11	printed-ref-11	1977	-	Coroutines and Networks of Parallel Processes	IFIP Congress 77	proceedings-article
12	printed-ref-12	1981	-	Applications of Feedback in Functional Programming	Conference on Functional Programming Languages and Computer Architecture	proceedings-article
13	printed-ref-13	1981	-	A Mathematical Theory of Computation	McGraw-Hill	book
14	printed-ref-14	1981	-	The Semantic Elegance of Applicative Languages	Conference on Functional Programming Languages and Computer Architecture	proceedings-article
15	printed-ref-15	1974	-	Correct and Optimal Implementations of Recursion in a Simple Programming Language	Journal of Computer and System Sciences	journal-article
16	printed-ref-16	1975	-	Stream-Oriented Computation in Recursive Data Flow Schemas	MIT Laboratory for Computer Science Technical Report TM-68	report
