rank	source_id	year	doi	title	venue	type
1	citation-1	2018		Quivela	GitHub	software
2	https://doi.org/10.1007/978-3-642-22110-1_14	2011	https://doi.org/10.1007/978-3-642-22110-1_14	CVC4	CAV	conference-paper
3	https://doi.org/10.5555/646483.691738	1999	https://doi.org/10.5555/646483.691738	Symbolic Model Checking Without BDDs	TACAS	conference-paper
4	https://doi.org/10.24963/ijcai.2017/667	2017	https://doi.org/10.24963/ijcai.2017/667	A Verified SAT Solver Framework with Learn, Forget, Restart, and Incrementality	IJCAI	conference-paper
5	https://doi.org/10.1145/1706299.1706339	2010	https://doi.org/10.1145/1706299.1706339	Programming with Angelic Nondeterminism	POPL	conference-paper
6	https://doi.org/10.1145/2872362.2872406	2016	https://doi.org/10.1145/2872362.2872406	Specifying and checking file system crash-consistency models	ASPLOS	conference-paper
7	https://doi.org/10.1145/3140587.3062353	2017	https://doi.org/10.1145/3140587.3062353	Synthesizing Memory Models from Framework Sketches and Litmus Tests	PLDI	conference-paper
8	https://doi.org/10.1145/3276519	2018	https://doi.org/10.1145/3276519	Finding Code That Explodes Under Symbolic Evaluation	Proceedings of the ACM on Programming Languages	article
9	https://doi.org/10.1145/2892664.2892667	2016	https://doi.org/10.1145/2892664.2892667	Wallingford: Toward a Constraint Reactive Programming Language	CROW	conference-paper
10	https://doi.org/10.1145/3102071.3102084	2017	https://doi.org/10.1145/3102071.3102084	Synthesizing Interpretable Strategies for Solving Puzzle Games	FDG	conference-paper
11	https://doi.org/10.1145/3158150	2018	https://doi.org/10.1145/3158150	Bonsai: Synthesis-Based Reasoning for Type Systems	Proceedings of the ACM on Programming Languages	article
12	https://doi.org/10.1145/1706299.1706312	2010	https://doi.org/10.1145/1706299.1706312	A Verified Compiler for an Impure Functional Language	POPL	conference-paper
13	citation-13	2017		Cosette: An Automated Prover for SQL	CIDR	conference-paper
14	https://doi.org/10.1007/978-3-540-24730-2_15	2004	https://doi.org/10.1007/978-3-540-24730-2_15	A Tool for Checking ANSI-C Programs	TACAS	conference-paper
15	https://doi.org/10.1145/775832.775928	2003	https://doi.org/10.1145/775832.775928	Behavioral Consistency of C and Verilog Programs	CMU-CS-03-126	report
16	https://doi.org/10.1109/TSE.1976.233817	1976	https://doi.org/10.1109/TSE.1976.233817	A System to Generate Test Data and Symbolically Execute Programs	IEEE Transactions on Software Engineering	article
