rank	source_id	year	doi	title	venue	type
1	10.1007/978-3-540-24605-3_21	2004	10.1007/978-3-540-24605-3_21	A Case for Efficient Solution Enumeration	SAT 2003	proceedings-article
2	10.1007/978-3-540-31980-1_19	2005	10.1007/978-3-540-31980-1_19	Efficient Conflict Analysis for Finding All Satisfying Assignments of a Boolean Circuit	TACAS 2005	proceedings-article
3	10.1007/978-3-319-47175-4_3	2016	10.1007/978-3-319-47175-4_3	A Comparative Study of SAT-Based Itemsets Mining	Research and Development in Intelligent Systems XXXIII	book-chapter
4	citation-4	2022		SMT-Based Weighted Model Integration with Structure Awareness	UAI 2022	proceedings-article
5	10.1016/j.artint.2024.104067	2024	10.1016/j.artint.2024.104067	Enhancing SMT-Based Weighted Model Integration by Structure Awareness	Artificial Intelligence	article
6	citation-6	2015		Approximate Counting in SMT and Value Estimation for Probabilistic Programs	TACAS 2015	proceedings-article
7	citation-7	2024		Canonical Decision Diagrams Modulo Theories	ECAI 2024	proceedings-article
8	10.1007/11817963_39	2006	10.1007/11817963_39	SMT Techniques for Fast Predicate Abstraction	CAV 2006	proceedings-article
9	10.1007/3-540-40922-X_22	2000	10.1007/3-540-40922-X_22	SAT-Based Image Computation with Application in Reachability Analysis	FMCAD 2000	proceedings-article
10	10.1007/978-3-540-30494-4_20	2004	10.1007/978-3-540-30494-4_20	Memory Efficient All-Solutions SAT Solver and Its Application for Reachability Analysis	FMCAD 2004	proceedings-article
11	10.1007/978-3-642-22110-1_17	2011	10.1007/978-3-642-22110-1_17	Existential Quantification as Incremental SAT	CAV 2011	proceedings-article
12	citation-12	2001		Pruning Techniques for the SAT-Based Bounded Model Checking Problem	CHARME 2001	proceedings-article
13	10.1007/3-540-45657-0_19	2002	10.1007/3-540-45657-0_19	Applying SAT Methods in Unbounded Symbolic Model Checking	CAV 2002	proceedings-article
14	10.1109/VLSID.2014.22	2014	10.1109/VLSID.2014.22	All-SAT Using Minimal Blocking Clauses	VLSID 2014	proceedings-article
15	10.1109/DATE.2004.1268860	2004	10.1109/DATE.2004.1268860	A Novel SAT All-Solutions Solver for Efficient Preimage Computation	DATE 2004	proceedings-article
16	10.1007/978-3-319-94144-8_7	2018	10.1007/978-3-319-94144-8_7	Chronological Backtracking	SAT 2018	proceedings-article
17	10.29007/vgg4	2019	10.29007/vgg4	Combining Conflict-Driven Clause Learning and Chronological Backtracking for Propositional Model Counting	GCAI 2019	proceedings-article
18	10.48550/arXiv.2003.04225	2020	10.48550/arXiv.2003.04225	Are You Satisfied by This Partial Assignment?	arXiv	preprint
19	10.4230/LIPIcs.SAT.2024.13	2024	10.4230/LIPIcs.SAT.2024.13	Entailing Generalization Boosts Enumeration	SAT 2024	proceedings-article
20	10.1007/978-3-030-51825-7_5	2020	10.1007/978-3-030-51825-7_5	Four Flavors of Entailment	SAT 2020	proceedings-article
21	10.1016/j.dam.2024.10.021	2025	10.1016/j.dam.2024.10.021	On Enumerating Short Projected Models	Discrete Applied Mathematics	article
22	citation-22	2024		Leveraging Decision-DNNF Compilation for Enumerating Disjoint Partial Models	KR 2024	proceedings-article
23	10.1007/978-3-031-43369-6_11	2023	10.1007/978-3-031-43369-6_11	An Abstract CNF-to-d-DNNF Compiler Based on Chronological CDCL	FroCoS 2023	proceedings-article
24	10.1007/978-3-642-36742-7_7	2013	10.1007/978-3-642-36742-7_7	The MathSAT5 SMT Solver	TACAS 2013	proceedings-article
25	10.1609/aaai.v38i8.28652	2024	10.1609/aaai.v38i8.28652	Disjoint Partial Enumeration without Blocking Clauses	AAAI 2024	proceedings-article
26	citation-26	1983		On the Complexity of Derivation in Propositional Calculus	Automation of Reasoning	book-chapter
27	10.1016/S0747-7171(86)80028-1	1986	10.1016/S0747-7171(86)80028-1	A Structure-Preserving Clause Form Translation	Journal of Symbolic Computation	article
28	10.4230/LIPIcs.SAT.2023.15	2023	10.4230/LIPIcs.SAT.2023.15	On CNF Conversion for Disjoint SAT Enumeration	SAT 2023	proceedings-article
29	10.1145/378239.379017	2001	10.1145/378239.379017	Chaff: Engineering an Efficient SAT Solver	DAC 2001	proceedings-article
30	10.1109/12.769433	1999	10.1109/12.769433	GRASP: A Search Algorithm for Propositional Satisfiability	IEEE Transactions on Computers	article
31	10.1145/368273.368557	1962	10.1145/368273.368557	A Machine Program for Theorem-Proving	Communications of the ACM	article
32	citation-32	2000		Counting Models Using Connected Components	AAAI/IAAI 2000	proceedings-article
33	citation-33	2005		Good Learning and Implicit Model Enumeration	ICTAI 2005	proceedings-article
34	10.1007/978-3-030-24258-9_18	2019	10.1007/978-3-030-24258-9_18	Backing Backtracking	SAT 2019	proceedings-article
35	10.1007/11527695_13	2005	10.1007/11527695_13	Using DPLL for Efficient OBDD Construction	SAT 2004	proceedings-article
36	10.1145/2975585	2016	10.1145/2975585	Implementing Efficient All Solutions SAT Solvers	ACM Journal of Experimental Algorithmics	article
37	10.5281/zenodo.14197776	2024	10.5281/zenodo.14197776	Disjoint Projected Enumeration for SAT and SMT without Blocking Clauses: TabularAllSAT Source Code	Zenodo	software
38	citation-38	1997		Using CSP Look-Back Techniques to Solve Real-World SAT Instances	AAAI/IAAI 1997	proceedings-article
39	10.1613/jair.193	2000	10.1613/jair.193	Backbone Fragility and the Local Search Cost Peak	Journal of Artificial Intelligence Research	article
40	citation-40	2019		GANAK: A Scalable Probabilistic Exact Model Counter	IJCAI 2019	proceedings-article
41	10.1145/3324884.3416569	2020	10.1145/3324884.3416569	Accelerating All-SAT Computation with Short Blocking Clauses	ASE 2020	proceedings-article
42	10.24963/ijcai.2022/259	2022	10.24963/ijcai.2022/259	AllSATCC: Boosting AllSAT Solving with Efficient Component Analysis	IJCAI 2022	proceedings-article
43	10.4230/LIPIcs.SAT.2023.9	2023	10.4230/LIPIcs.SAT.2023.9	AllSAT for Combinational Circuits	SAT 2023	proceedings-article
44	10.1109/ICTAI.2018.00111	2018	10.1109/ICTAI.2018.00111	Dualizing Projected Model Counting	ICTAI 2018	proceedings-article
45	10.5281/zenodo.14198207	2024	10.5281/zenodo.14198207	Disjoint Projected Enumeration for SAT and SMT without Blocking Clauses: TabularAllSMT	Zenodo	software
46	10.48550/arXiv.2303.14971	2023	10.48550/arXiv.2303.14971	On CNF Conversion for SAT and SMT Enumeration	arXiv	preprint
