rank	openalex_id	year	doi	title	venue	type
1	W1710734607	2008	https://doi.org/10.5555/1855741.1855756	KLEE: unassisted and automatic generation of high-coverage tests for complex systems programs		article
2	W157156687	2008		Automated Whitebox Fuzz Testing.		article
3	W2110311336	2008	https://doi.org/10.1007/978-3-540-79124-9_10	Pex–White Box Test Generation for .NET	Lecture notes in computer science	conference-paper
4	W2107147876	2013	https://doi.org/10.1145/2408776.2408795	Symbolic execution for software testing	Communications of the ACM	article
5	W2138788987	2010	https://doi.org/10.1109/sp.2010.26	All You Ever Wanted to Know about Dynamic Taint Analysis and Forward Symbolic Execution (but Might Have Been Afraid to Ask)		conference-paper
6	W1979345446	2013	https://doi.org/10.1016/j.jss.2013.02.061	An orchestrated survey of methodologies for automated software test case generation	Journal of Systems and Software	article
7	W2137530017	2011	https://doi.org/10.1145/1950365.1950396	S2E		conference-paper
8	W2065948900	2008	https://doi.org/10.1145/1375581.1375607	Grammar-based whitebox fuzzing		conference-paper
9	W2161963160	2012	https://doi.org/10.1145/2393596.2393666	Automated concolic testing of smartphone apps		conference-paper
10	W2085577046	2013	https://doi.org/10.1145/2508859.2516676	AppIntent		conference-paper
11	W2097444001	2011	https://doi.org/10.1145/1985793.1985995	Symbolic execution for software testing in practice		conference-paper
12	W2074888021	2008	https://doi.org/10.1145/1453101.1453131	Differential symbolic execution		conference-paper
13	W2051990174	2014	https://doi.org/10.1145/2560217.2560219	Automatic exploit generation	Communications of the ACM	article
14	W3016155638	2020	https://doi.org/10.1109/sp40000.2020.00024	VerX: Safety Verification of Smart Contracts		conference-paper
15	W2114345296	2009	https://doi.org/10.1109/dsn.2009.5270315	Fitness-guided path exploration in dynamic symbolic execution		conference-paper
16	W2095551048	2011	https://doi.org/10.1145/1966445.1966463	Parallel symbolic execution for automated real-world software testing		conference-paper
17	W2082172430	2009	https://doi.org/10.1007/s10009-009-0118-1	A survey of new trends in symbolic execution for software testing and analysis	International Journal on Software Tools for Technology Transfer	article
18	W1497028280	2008	https://doi.org/10.1007/978-3-540-78800-3_27	RWset: Attacking Path Explosion in Constraint-Based Test Generation	Lecture notes in computer science	conference-paper
19	W2806746626	2018	https://doi.org/10.1109/tr.2018.2834476	Fuzzing: State of the Art	IEEE Transactions on Reliability	article
20	W2171469152	2008	https://doi.org/10.1007/978-3-540-78800-3_28	Demand-Driven Compositional Symbolic Execution	Lecture notes in computer science	conference-paper
21	W1970005004	2014	https://doi.org/10.1145/2568225.2568293	Enhancing symbolic execution with veritesting		conference-paper
22	W2134875273	2010	https://doi.org/10.1145/1706299.1706307	Compositional may-must program analysis		conference-paper
23	W116894366	2011	https://doi.org/10.1007/978-3-642-23702-7_11	Directed Symbolic Execution	Lecture notes in computer science	conference-paper
24	W2150990339	2012	https://doi.org/10.1145/2110356.2110358	The S2E Platform	ACM Transactions on Computer Systems	article
25	W2121507867	2013	https://doi.org/10.1145/2483760.2483777	Automated testing with targeted event sequence generation		conference-paper
26	W1979693894	2012	https://doi.org/10.1145/2254064.2254088	Efficient state merging in symbolic execution		conference-paper
27	W2117402063	2009	https://doi.org/10.1007/978-3-642-00768-2_27	Path Feasibility Analysis for String-Manipulating Programs	Lecture notes in computer science	conference-paper
28	W2967682612	2019	https://doi.org/10.1145/3338906.3338937	Black box fairness testing of machine learning models		conference-paper
29	W2152565783	2011	https://doi.org/10.1145/1993316.1993558	Directed incremental symbolic execution	ACM SIGPLAN Notices	article
30	W2165015106	2009	https://doi.org/10.1145/1572272.1572299	Loop-extended symbolic execution on binary programs		conference-paper
31	W2050853996	2008	https://doi.org/10.1145/1390630.1390662	Finding bugs in dynamic web applications		conference-paper
32	W2136579066	2010	https://doi.org/10.1109/tse.2010.31	Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking	IEEE Transactions on Software Engineering	article
33	W2145385214	2007	https://doi.org/10.1145/1294261.1294274	Bouncer		conference-paper
34	W2169063148	2010	https://doi.org/10.1145/1831708.1831732	Parallel symbolic execution for structural test generation		conference-paper
35	W2024442685	2008	https://doi.org/10.1145/1348250.1348254	DSD-Crasher	ACM Transactions on Software Engineering and Methodology	article
36	W2114337691	2009	https://doi.org/10.1145/1542476.1542517	Snugglebug		conference-paper
37	W2019368525	2013	https://doi.org/10.1145/2483760.2483769	Comparing non-adequate test suites using coverage criteria		conference-paper
38	W2051634947	2008	https://doi.org/10.1109/ms.2008.109	Automating Software Testing Using Program Analysis	IEEE Software	article
39	W2139498310	2008	https://doi.org/10.1145/1390630.1390634	Proofs from tests		conference-paper
40	W3207402727	2019	https://doi.org/10.1145/3371078	Incorrectness logic	Proceedings of the ACM on Programming Languages	article
41	W2169309022	2010	https://doi.org/10.1145/1774088.1774531	Embedded contract languages		conference-paper
42	W2000414759	2013	https://doi.org/10.5555/2486788.2486805	Billions and billions of constraints: whitebox fuzz testing in production		article
43	W2032153666	2011	https://doi.org/10.1145/2001420.2001424	Automatic partial loop summarization in dynamic test generation		conference-paper
44	W2151674625	2010	https://doi.org/10.1109/tse.2010.93	Dynamic Analysis for Diagnosing Integration Faults	IEEE Transactions on Software Engineering	article
45	W2066353350	2012	https://doi.org/10.1145/2338965.2336771	Memoized symbolic execution		conference-paper
46	W2171471938	2007	https://doi.org/10.1109/icse.2007.63	Path-Sensitive Inference of Function Precedence Protocols		conference-paper
47	W2136601052	2015	https://doi.org/10.1145/2786805.2786830	MultiSE: multi-path symbolic execution using value summaries		conference-paper
48	W2155539595	2011	https://doi.org/10.1145/2001420.2001425	Symbolic execution with mixed concrete-symbolic solving		conference-paper
49	W2159899121	2013	https://doi.org/10.1145/2509136.2509553	Steering symbolic execution to less traveled paths		conference-paper
50	W2294434616	2016	https://doi.org/10.1145/2884781.2884843	Guiding dynamic symbolic execution toward unverified program executions		conference-paper
51	W2147891468	2011	https://doi.org/10.1145/2043556.2043582	Practical software model checking via dynamic interface reduction		conference-paper
52	W2795052548	2018	https://doi.org/10.1145/3180155.3180251	Chopped symbolic execution		conference-paper
53	W2020689607	2011	https://doi.org/10.1145/2001420.2001422	eXpress		conference-paper
54	W2810768857	2018	https://doi.org/10.1145/3209108.3209109	Continuous Reasoning		conference-paper
55	W1992485833	2012	https://doi.org/10.1016/j.future.2012.02.006	State of the art: Dynamic symbolic execution for automated test generation	Future Generation Computer Systems	article
56	W2107445402	2008	https://doi.org/10.1145/1450058.1450087	Active property checking		conference-paper
57	W3043626952	2020	https://doi.org/10.1007/978-3-030-53291-8_14	Local Reasoning About the Presence of Bugs: Incorrectness Separation Logic	Lecture notes in computer science	conference-paper
58	W2137636669	2009	https://doi.org/10.1109/taicpart.2009.15	Automated Test Data Generation for Coverage: Haven't We Solved This Problem Yet?		conference-paper
59	W2151585646	2012	https://doi.org/10.5555/2337223.2337308	make test-zesti: a symbolic execution solution for improving regression testing		article
60	W2059987590	2015	https://doi.org/10.1145/2786805.2786841	Assertion guided symbolic execution of multithreaded programs		conference-paper
61	W2016094683	2011	https://doi.org/10.1109/esem.2011.20	A Case Study of Concolic Testing Tools and their Limitations		conference-paper
62	W2139459831	2013		An Orchestrated Survey on Automated Software Test Case Generation I		article
63	W2155216527	2014	https://doi.org/10.5555/2616448.2616459	Software dataplane verification	Networked Systems Design and Implementation	article
64	W2095473904	2014	https://doi.org/10.1007/s10472-014-9408-8	Establishing flight software reliability: testing, model checking, constraint-solving, monitoring and learning	Annals of Mathematics and Artificial Intelligence	article
65	W2103201337	2007	https://doi.org/10.1145/1321631.1321653	Directed test generation using symbolic grammars		conference-paper
66	W2036894992	2007	https://doi.org/10.1145/1292414.1292416	Random testing for security		conference-paper
67	W2097110854	2010	https://doi.org/10.1109/tse.2010.23	Semi-Proving: An Integrated Method for Program Proving, Testing, and Debugging	IEEE Transactions on Software Engineering	article
68	W2002479196	2011	https://doi.org/10.1145/1966445.1966475	Symbolic crosschecking of floating-point and SIMD code		conference-paper
69	W2097041275	2010	https://doi.org/10.1145/1831708.1831734	On test repair using symbolic execution		conference-paper
70	W2114780348	2012	https://doi.org/10.1145/2150976.2151012	Path-exploration lifting		conference-paper
71	W2150684130	2006	https://doi.org/10.1145/1146238.1146267	DSD-Crasher		conference-paper
72	W2015265712	2014	https://doi.org/10.1109/tse.2014.2363469	STAR: Stack Trace Based Automatic Crash Reproduction via Symbolic Execution	IEEE Transactions on Software Engineering	article
73	W2119236311	2009		Selective Symbolic Execution	Infoscience (Ecole Polytechnique Fédérale de Lausanne)	conference-paper
74	W2018704560	2007	https://doi.org/10.1093/comjnl/bxm057	UML Activity Diagram-Based Automatic Test Case Generation For Java Programs	The Computer Journal	article
75	W2158248180	2008	https://doi.org/10.1145/1390630.1390636	Testing for buffer overflows with length abstraction		conference-paper
76	W2074273322	2010	https://doi.org/10.1016/j.jss.2010.07.026	An empirical investigation into branch coverage for C programs using CUTE and AUSTIN	Journal of Systems and Software	article
77	W1971719033	2007	https://doi.org/10.1145/1273463.1273464	Under-constrained execution		conference-paper
78	W1984481956	2015	https://doi.org/10.1145/2660767	Guidelines for Coverage-Based Comparisons of Non-Adequate Test Suites	ACM Transactions on Software Engineering and Methodology	article
79	W1985335248	2008	https://doi.org/10.1145/1389095.1389435	Handling dynamic data structures in search based testing		conference-paper
80	W2055489377	2010	https://doi.org/10.1109/tse.2010.49	Proofs from Tests	IEEE Transactions on Software Engineering	article
81	W2057330156	2010	https://doi.org/10.1145/1866307.1866354	Input generation via decomposition and re-stitching		conference-paper
82	W1585877844	2009	https://doi.org/10.1007/978-3-642-04694-0_6	State Joining and Splitting for the Symbolic Execution of Binaries	Lecture notes in computer science	conference-paper
83	W2020703884	2015	https://doi.org/10.1145/2771783.2771806	Enhancing reuse of constraint solutions to improve symbolic execution		conference-paper
84	W15179086	2012	https://doi.org/10.1007/978-3-642-34188-5_15	Interpolation-Based Function Summaries in Bounded Model Checking	Lecture notes in computer science	conference-paper
85	W1938285999	2009	https://doi.org/10.1007/978-3-642-00768-2_24	From Tests to Proofs	Lecture notes in computer science	conference-paper
86	W2142890871	2013	https://doi.org/10.1145/2491411.2501854	Scalable and incremental software bug detection		conference-paper
87	W1975191777	2013	https://doi.org/10.1145/2491411.2491425	Boosting concolic testing via interpolation		conference-paper
88	W2090601235	2013	https://doi.org/10.1109/sp.2013.40	Circuit Structures for Improving Efficiency of Security and Privacy Tools		conference-paper
89	W2121650870	2012	https://doi.org/10.1145/2393596.2393636	CarFast		conference-paper
90	W2122796635	2007	https://doi.org/10.1109/fose.2007.6	Formal Software Analysis Emerging Trends in Software Model Checking		conference-paper
91	W2167310095	2008	https://doi.org/10.1109/icst.2008.8	Structural Testing of Executables		conference-paper
92	W2141575847	2007		A genetic approach for random testing of database systems	Very Large Data Bases	article
93	W1842210354	2012	https://doi.org/10.1007/978-3-642-28872-2_19	Integration Testing of Software Product Lines Using Compositional Symbolic Execution	Lecture notes in computer science	conference-paper
94	W2119342939	2007	https://doi.org/10.1145/1287624.1287708	Directed test generation using symbolic grammars		conference-paper
95	W2157264616	2009	https://doi.org/10.1109/iwast.2009.5069043	Automating structural testing of C programs: Experience with PathCrawler		conference-paper
96	W3151121979	2012	https://doi.org/10.1109/icse.2012.6227152	Build code analysis with symbolic evaluation		conference-paper
97	W1963739845	2014	https://doi.org/10.1145/2642937.2642951	Targeted test input generation using symbolic-concrete backward execution		conference-paper
98	W2120951650	2012	https://doi.org/10.5555/2337223.2337300	Build code analysis with symbolic evaluation		article
99	W2137175751	2010	https://doi.org/10.1145/1858996.1859084	How did you specify your test suite		conference-paper
100	W2471111208	2016	https://doi.org/10.1109/tse.2016.2584063	Dependence Guided Symbolic Execution	IEEE Transactions on Software Engineering	article
101	W1550549614	2009	https://doi.org/10.1007/978-3-642-02658-4_41	Reducing Test Inputs Using Information Partitions	Lecture notes in computer science	conference-paper
102	W2095997776	2010	https://doi.org/10.1002/stvr.423	OSMOSE: automatic structural testing of executables	Software Testing Verification and Reliability	article
103	W2050886219	2012	https://doi.org/10.1145/2384616.2384654	Scaling symbolic execution using ranged analysis		conference-paper
104	W2394543764	2012		A General Approach for Efficiently Accelerating Software-based Dynamic Data Flow Tracking on Commodity Hardware.		article
105	W2054075353	2015	https://doi.org/10.1145/2823400	Software dataplane verification	Communications of the ACM	article
106	W2112448454	2014	https://doi.org/10.1145/2541940.2541977	Prototyping symbolic execution engines for interpreted languages		conference-paper
107	W2139443212	2011	https://doi.org/10.1145/1993316.1993529	Higher-order test generation	ACM SIGPLAN Notices	article
108	W2548465910	2016	https://doi.org/10.1145/2950290.2983940	JBSE: a symbolic executor for Java programs with complex heap inputs		conference-paper
109	W2001601301	2011	https://doi.org/10.1145/2025113.2025152	Path exploration based on symbolic output		conference-paper
110	W2580207986	2017	https://doi.org/10.1109/tse.2017.2659751	Eliminating Path Redundancy via Postconditioned Symbolic Execution	IEEE Transactions on Software Engineering	article
111	W2115950902	2011	https://doi.org/10.1007/978-3-642-23702-7_12	Statically Validating Must Summaries for Incremental Compositional Dynamic Test Generation	Lecture notes in computer science	conference-paper
112	W2010570907	2012	https://doi.org/10.1145/2254064.2254091	Parallelizing top-down interprocedural analyses		conference-paper
113	W2888541832	2018	https://doi.org/10.1145/3238147.3238178	Client-specific equivalence checking		conference-paper
114	W4290048282	2018	https://doi.org/10.1145/3167132.3167289	Improving function coverage with munch		conference-paper
115	W2160445528	2015	https://doi.org/10.1007/978-3-662-49122-5_16	Abstraction-driven Concolic Testing	Lecture notes in computer science	conference-paper
116	W2765857833	2017	https://doi.org/10.1145/3139337.3139346	Modular Synthesis of Heap Exploits		conference-paper
117	W2194959641	2013	https://doi.org/10.1007/978-3-642-35873-9_14	Static Analysis of String Encoders and Decoders	Lecture notes in computer science	conference-paper
118	W2472899067	2018	https://doi.org/10.1007/978-3-319-10575-8_19	Combining Model Checking and Testing		book-chapter
119	W3000614974	2019	https://doi.org/10.1109/ase.2019.00034	Performance-Boosting Sparsification of the IFDS Algorithm with Applications to Taint Analysis		conference-paper
120	W2509308811	2016	https://doi.org/10.1145/2970276.2970281	MACKE: compositional analysis of low-level vulnerabilities with symbolic execution		conference-paper
121	W1797591744	2009	https://doi.org/10.1007/978-3-642-04342-0_9	Towards Generating High Coverage Vulnerability-Based Signatures with Protocol-Level Constraint-Guided Exploration	Lecture notes in computer science	conference-paper
122	W2104865907	2011	https://doi.org/10.1145/2025113.2025143	Testing software in age of data privacy		conference-paper
123	W2364496964	2015	https://doi.org/10.1109/tse.2015.2490067	Bidirectional Symbolic Analysis for Effective Branch Testing	IEEE Transactions on Software Engineering	article
124	W2740510556	2017		CAB-Fuzz: Practical Concolic Testing Techniques for COTS Operating Systems.		article
125	W2076716251	2012	https://doi.org/10.1109/issre.2012.8	Speculative Symbolic Execution		conference-paper
126	W2977692062	2019	https://doi.org/10.1007/978-3-319-91908-9_24	Automated Software Test Generation: Some Challenges, Solutions, and Recent Advances	Lecture notes in computer science	conference-paper
127	W3176250057	2021	https://doi.org/10.1145/3453483.3454076	Polynomial reachability witnesses via Stellensätze		conference-paper
128	W2066600995	2013	https://doi.org/10.1145/2509136.2509508	Input-covering schedules for multithreaded programs		conference-paper
129	W2003299277	2014	https://doi.org/10.1145/2660193.2660200	Symbolic execution of multithreaded programs from arbitrary program contexts		conference-paper
130	W2899983867	2019	https://doi.org/10.1145/3290379	JaVerT 2.0: compositional symbolic execution for JavaScript	Proceedings of the ACM on Programming Languages	article
131	W2401312886	2016	https://doi.org/10.1145/2927924	Enhancing symbolic execution with veritesting	Communications of the ACM	article
132	W2115612093	2010	https://doi.org/10.1109/memcod.2010.5558629	Systematic testing for control applications		conference-paper
133	W2097118641	2014	https://doi.org/10.1145/2676726.2677014	Data-Parallel String-Manipulating Programs		conference-paper
134	W3208160860	2021	https://doi.org/10.1007/978-3-030-88701-8_20	On Algebra of Program Correctness and Incorrectness	Lecture notes in computer science	conference-paper
135	W2030570299	2014	https://doi.org/10.1109/icst.2014.36	Sanitizing and Minimizing Databases for Software Application Test Outsourcing		conference-paper
136	W2144186806	2008	https://doi.org/10.1109/ase.2008.49	Predicting Effectiveness of Automatic Testing Tools		conference-paper
137	W2156050478	2009	https://doi.org/10.1109/tase.2009.33	Automated Test Case Generation Based on Coverage Analysis		conference-paper
138	W3105410168	2020	https://doi.org/10.1145/3368089.3409734	Java Ranger: statically summarizing regions for efficient symbolic execution of Java		conference-paper
139	W2153702331	2011	https://doi.org/10.1007/s10472-011-9224-3	Formal testing for separation assurance	Annals of Mathematics and Artificial Intelligence	article
140	W2547390950	2016	https://doi.org/10.1145/2950290.2950335	Extracting instruction semantics via symbolic execution of code generators		conference-paper
141	W944802673	2014	https://doi.org/10.1007/978-3-662-46081-8_21	Proving Memory Safety of the ANI Windows Image Parser Using Compositional Exhaustive Testing	Lecture notes in computer science	conference-paper
142	W2946412372	2020	https://doi.org/10.1145/3377811.3380388	Targeted greybox fuzzing with static lookahead analysis		conference-paper
143	W7061239	2013	https://doi.org/10.1007/978-3-319-02444-8_15	Compact Symbolic Execution	Lecture notes in computer science	conference-paper
144	W1971141125	2013	https://doi.org/10.1016/j.jss.2013.08.033	A distributed framework for demand-driven software vulnerability detection	Journal of Systems and Software	article
145	W2583141382	2017	https://doi.org/10.1145/3033019.3033029	Dynamic symbolic execution for polymorphism		conference-paper
146	W2296467253	2014	https://doi.org/10.1145/2568225.2568273	Micro execution		conference-paper
147	W1979114612	2013	https://doi.org/10.1109/tpds.2013.44	GMRace: Detecting Data Races in GPU Programs via a Low-Overhead Scheme	IEEE Transactions on Parallel and Distributed Systems	article
148	W2006860739	2014	https://doi.org/10.1145/2629536	Directed Incremental Symbolic Execution	ACM Transactions on Software Engineering and Methodology	article
149	W2127973326	2007	https://doi.org/10.1109/taic.part.2007.32	Kiasan/KUnit: Automatic Test Case Generation and Analysis Feedback for Open Object-oriented Systems		conference-paper
150	W2795180899	2018	https://doi.org/10.1145/3180155.3180166	Automatically generating search heuristics for concolic testing		conference-paper
151	W2144423682	2014	https://doi.org/10.1145/2568225.2568319	Property differencing for incremental checking		conference-paper
152	W1561959476	2015	https://doi.org/10.1109/icst.2015.7102601	Postconditioned Symbolic Execution		conference-paper
153	W1529563380	2013	https://doi.org/10.1007/978-3-642-37036-6_26	Information Reuse for Multi-goal Reachability Analyses	Lecture notes in computer science	conference-paper
154	W1904455255	2012	https://doi.org/10.1007/978-3-642-32469-7_14	Checking Properties Described by State Machines: On Synergy of Instrumentation, Slicing, and Symbolic Execution	Lecture notes in computer science	conference-paper
155	W2547827378	2016	https://doi.org/10.1145/2950290.2950360	Directed test generation to detect loop inefficiencies		conference-paper
156	W2748925796	2017	https://doi.org/10.1007/978-3-319-66706-5_20	Modular Demand-Driven Analysis of Semantic Difference for Program Versions	Lecture notes in computer science	conference-paper
157	W2015826910	2010	https://doi.org/10.1109/qsic.2010.22	Test Sequence Generation from Communicating UML State Charts: An Industrial Application of Symbolic Transition Systems		conference-paper
158	W2042546688	2007	https://doi.org/10.1145/1512762.1512764	Whispec		conference-paper
159	W2243965201	2015	https://doi.org/10.1109/issre.2015.7381814	Studying the influence of standard compiler optimizations on symbolic execution		conference-paper
160	W2260681216	2015		Analyzing protocol implementations for interoperability		article
161	W2071067812	2013	https://doi.org/10.1145/2522920.2522925	Path exploration based on symbolic output	ACM Transactions on Software Engineering and Methodology	article
162	W2098675293	2013		Redundant state detection for dynamic symbolic execution	USENIX Annual Technical Conference	conference-paper
163	W2005223977	2011	https://doi.org/10.1145/2025113.2025172	Automatic test suite evolution		conference-paper
164	W2074371713	2014	https://doi.org/10.1145/2676549	Scaling Input Stimulus Generation through Hybrid Static and Dynamic Analysis of RTL	ACM Transactions on Design Automation of Electronic Systems	article
165	W2097299181	2009	https://doi.org/10.1109/icse-companion.2009.5071009	Guided path exploration for regression test generation		conference-paper
166	W2145143805	2009	https://doi.org/10.1109/icst.2009.15	Pruning the Search Space in Path-Based Test Generation		conference-paper
167	W2156213336	2012	https://doi.org/10.1145/2245276.2231981	Symbolic execution of UML-RT State Machines		conference-paper
168	W1699755414	2012	https://doi.org/10.4230/lipics.fsttcs.2012.24	Test Generation Using Symbolic Execution	DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)	article
169	W2008685183	2012	https://doi.org/10.1109/wcre.2012.51	Modeling Software Execution Environment		conference-paper
170	W2211371252	2012		STING: finding name resolution vulnerabilities in programs		conference-paper
171	W2969087412	2019	https://doi.org/10.1145/3338906.3338934	Target-driven compositional concolic testing with function summary refinement for effective bug detection		conference-paper
172	W1968678619	2010	https://doi.org/10.1145/1806596.1806645	Mixing type checking and symbolic execution		conference-paper
173	W2351526985	2016	https://doi.org/10.1145/2884781.2884859	Type-aware concolic testing of JavaScript programs		conference-paper
174	W2531260568	2016	https://doi.org/10.1145/2983990.2984040	Directed synthesis of failing concurrent executions		conference-paper
175	W2793201049	2018	https://doi.org/10.1007/s10009-018-0490-9	The Symbolic Execution Debugger (SED): a platform for interactive symbolic execution, debugging, verification and more	International Journal on Software Tools for Technology Transfer	article
176	W1995876304	2014	https://doi.org/10.1145/2601381.2601394	Towards semantic model composition via experiments		conference-paper
177	W2183818732	2011		Efficient Directionless Weakest Preconditions		article
178	W2591624555	2017	https://doi.org/10.1109/infocom.2017.8057221	LeakSemantic: Identifying abnormal sensitive network transmissions in mobile applications		conference-paper
179	W1736806863	2012	https://doi.org/10.1007/978-3-642-33675-1_38	Parallel NuSMV: A NuSMV Extension for the Verification of Complex Embedded Systems	Lecture notes in computer science	conference-paper
180	W2529022039	2016	https://doi.org/10.1007/978-3-319-47166-2_14	Symbolic Execution with CEGAR	Lecture notes in computer science	conference-paper
181	W2905598133	2018	https://doi.org/10.1016/bs.adcom.2018.10.002	Advances in Symbolic Execution	Advances in computers	book-chapter
182	W2528040273	2018	https://doi.org/10.1145/3182657	A Survey of Symbolic Execution Techniques	ACM Computing Surveys	article
183	W3156952258	2021	https://doi.org/10.1145/3442381.3450002	On the Feasibility of Automated Built-in Function Modeling for PHP Symbolic Execution		conference-paper
184	W3205083328	2021	https://doi.org/10.1007/978-3-030-88806-0_3	Backward Symbolic Execution with Loop Folding	Lecture notes in computer science	conference-paper
