rank	openalex_id	year	doi	title	venue	type
1	W2956034981	2015	https://doi.org/10.1109/tcad.2015.2421907	Mining Requirements From Closed-Loop Control Models	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	article
2	W2085744412	2013	https://doi.org/10.1016/j.automatica.2013.03.020	Lagrangian methods for approximating the viability kernel in high-dimensional systems	Automatica	article
3	W2590655739	2017	https://doi.org/10.1007/978-3-319-63387-9_22	DryVR: Data-Driven Verification and Compositional Reasoning for Automotive Systems	Lecture notes in computer science	conference-paper
4	W2153024173	2013	https://doi.org/10.1145/2461328.2461337	Mining requirements from closed-loop control models		conference-paper
5	W4248646522	2013	https://doi.org/10.1109/emsoft.2013.6658604	Verification of annotated models from executions		conference-paper
6	W2889490035	2018	https://doi.org/10.1016/j.ifacol.2018.08.026	Learning and Verification of Feedback Control Systems using Feedforward Neural Networks	IFAC-PapersOnLine	article
7	W2160937337	2012	https://doi.org/10.1145/2248418.2248437	An operational semantics for Simulink's simulation engine		conference-paper
8	W98354153	2013	https://doi.org/10.1007/978-3-642-39799-8_21	System Level Formal Verification via Model Checking Driven Simulation	Lecture notes in computer science	conference-paper
9	W2808317661	2018	https://doi.org/10.1145/3180155.3180231	Automatically finding bugs in a commercial cyber-physical system development tool chain with SLforge		conference-paper
10	W1910316712	2013	https://doi.org/10.1002/stvr.1489	Automatic test case generation from Simulink/Stateflow models using model checking	Software Testing Verification and Reliability	article
11	W2339842460	2016	https://doi.org/10.1145/2883817.2883828	Reachset Conformance Testing of Hybrid Automata		conference-paper
12	W1969710845	2014	https://doi.org/10.1145/2562059.2562113	Inner approximated reachability analysis		conference-paper
13	W1647861174	2009	https://doi.org/10.1007/978-3-642-02658-4	Computer Aided Verification	Lecture notes in computer science	conference-paper
14	W3090636587	2020	https://doi.org/10.1145/3377811.3380381	SLEMI		conference-paper
15	W2132394594	2012	https://doi.org/10.1145/2185632.2185676	Computing bounded reach sets from sampled simulation traces		conference-paper
16	W2105489690	2011	https://doi.org/10.1109/iccps.2011.28	Model-Based Closed-Loop Testing of Implantable Pacemakers		conference-paper
17	W2115612093	2010	https://doi.org/10.1109/memcod.2010.5558629	Systematic testing for control applications		conference-paper
18	W1907817959	2012	https://doi.org/10.1007/978-3-642-28891-3_33	CLSE: Closed-Loop Symbolic Execution	Lecture notes in computer science	conference-paper
19	W2983045983	2019	https://doi.org/10.1093/bioinformatics/btz860	SBML2Modelica: integrating biochemical models within open-standard simulation ecosystems	Bioinformatics	article
20	W2019809768	2011	https://doi.org/10.1007/s11334-011-0145-4	SimCheck: a contract type system for Simulink	Innovations in Systems and Software Engineering	article
21	W2126317860	2011	https://doi.org/10.1145/2038642.2038683	Cross-layer analysis, testing and verification of automotive control software		conference-paper
22	W4239940594	2014	https://doi.org/10.1109/fmcad.2014.6987596	Under-approximate flowpipes for non-linear continuous systems		conference-paper
23	W2085426894	2015		Under-approximate Flowpipes for Non-linear Continuous Systems		article
24	W2577663800	2017	https://doi.org/10.1007/978-3-319-51738-4_4	CyFuzz: A Differential Testing Framework for Cyber-Physical Systems Development Environments	Lecture notes in computer science	conference-paper
25	W1541337995	2012	https://doi.org/10.1007/978-3-642-27940-9_16	Donut Domains: Efficient Non-convex Domains for Abstract Interpretation	Lecture notes in computer science	conference-paper
26	W2070528884	2011	https://doi.org/10.1016/j.scico.2011.07.007	Refinement-oriented models of Stateflow charts	Science of Computer Programming	article
27	W2137623615	2009	https://doi.org/10.1109/rtss.2009.26	Robustness of Model-Based Simulations		conference-paper
28	W2183912667	2010		SimCheck: An Expressive Type System for Simulink		article
29	W2056255871	2013	https://doi.org/10.1145/2489280.2489285	Analysis and testing of matlab simulink models: a systematic mapping study		conference-paper
30	W1546399868	2011	https://doi.org/10.1007/978-3-642-19718-5_10	Generalizing the Template Polyhedral Domain	Lecture notes in computer science	conference-paper
31	W2548903005	2016	https://doi.org/10.1109/iciea.2016.7603790	Statistical analysis of energy-aware real-time automotive systems in EAST-ADL/Stateflow		conference-paper
32	W2809744066	2018	https://doi.org/10.1145/3170500	Cyber-Physical Specification Mismatches	ACM Transactions on Cyber-Physical Systems	article
33	W2118850959	2013	https://doi.org/10.1145/2461328.2461345	Towards sensitivity analysis of hybrid systems using simulink		conference-paper
34	W2372473998	2015	https://doi.org/10.1109/apsec.2015.17	Verifying Automotive Systems in EAST-ADL/Stateflow Using UPPAAL		conference-paper
35	W2594223365	2013		On simulation based verification of nonlinear nondeterministic hybrid systems		article
36	W2025661446	2012	https://doi.org/10.1109/rtcsa.2012.22	Co-analysis of SysML and Simulink Models for Cyber-Physical Systems Design		conference-paper
37	W2049708124	2014	https://doi.org/10.1016/j.tcs.2014.08.019	Interface simulation distances	Theoretical Computer Science	article
38	W3122374654	2021	https://doi.org/10.1016/j.jlamp.2021.100640	On checking equivalence of simulation scripts	Journal of Logical and Algebraic Methods in Programming	article
39	W2153284512	2011	https://doi.org/10.1145/2024724.2024728	Rigorous model-based design &amp; verification flow for in-vehicle software		conference-paper
40	W2242831442	2015	https://doi.org/10.4204/eptcs.193.7	Simulator Semantics for System Level Formal Verification	Electronic Proceedings in Theoretical Computer Science	article
