rank	openalex_id	year	doi	title	venue	type
1	W109452506	1998		Differential Testing for Software.		article
2	W1439634531	2016	https://doi.org/10.1016/j.jsc.2016.07.012	A generic framework for symbolic execution: A coinductive approach	Journal of Symbolic Computation	article
3	W1464569014	2015	https://doi.org/10.1007/978-3-319-21401-6_26	The Lean Theorem Prover (System Description)	Lecture notes in computer science	conference-paper
4	W1480909796	2008	https://doi.org/10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	Lecture notes in computer science	conference-paper
5	W2014764321	1979	https://doi.org/10.1145/567752.567778	Systematic design of program analysis frameworks		conference-paper
6	W2043100293	1977	https://doi.org/10.1145/512950.512973	Abstract interpretation		conference-abstract
7	W2080575293	2014	https://doi.org/10.1145/2676726.2676966	A Formally-Verified C Static Analyzer		conference-paper
8	W2091345373	2010	https://doi.org/10.1145/1706299.1706312	A verified compiler for an impure functional language		conference-paper
9	W2101512909	1976	https://doi.org/10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	article
10	W2109276114	1976	https://doi.org/10.1109/tse.1976.233817	A System to Generate Test Data and Symbolically Execute Programs	IEEE Transactions on Software Engineering	article
11	W2129538349	2004	https://doi.org/10.1007/978-3-540-24730-2_15	A Tool for Checking ANSI-C Programs	Lecture notes in computer science	conference-paper
12	W2130371489	2010	https://doi.org/10.1145/1706299.1706339	Programming with angelic nondeterminism		conference-paper
13	W2136601052	2015	https://doi.org/10.1145/2786805.2786830	MultiSE: multi-path symbolic execution using value summaries		conference-paper
14	W2149236697	2006	https://doi.org/10.1145/1168857.1168907	Combinatorial sketching for finite programs		conference-paper
15	W2163671349	2013	https://doi.org/10.1145/2509578.2509586	Growing solver-aided languages with rosette		conference-paper
16	W2171999426	2003	https://doi.org/10.1145/775832.775928	Behavioral consistency of C and verilog programs using bounded model checking		conference-paper
17	W2278821771	2015	https://doi.org/10.3233/sat190101	Boolector 2.0	Journal on Satisfiability Boolean Modeling and Computation	article
18	W2313930557	2016	https://doi.org/10.1145/2892664.2892667	Wallingford: toward a constraint reactive programming language		conference-paper
19	W2330908417	2016	https://doi.org/10.1145/2872362.2872387	Scaling up Superoptimization		conference-paper
20	W2332661323	2016	https://doi.org/10.1145/2872362.2872406	Specifying and Checking File System Crash-Consistency Models		conference-paper
21	W2493296585	2016	https://doi.org/10.1007/978-3-319-41540-6_2	Investigating Safety of a Radiotherapy Machine Using System Models with Pluggable Checkers	Lecture notes in computer science	conference-paper
22	W2536639940	2016	https://doi.org/10.1145/2983990.2984012	Scalable verification of border gateway protocol configurations with an SMT solver		conference-paper
23	W2564212270	2017	https://doi.org/10.1007/978-3-319-63046-5_14	Efficient Certified RAT Verification	Lecture notes in computer science	conference-paper
24	W2739754451	2017	https://doi.org/10.24963/ijcai.2017/667	A Verified SAT Solver Framework with Learn, Forget, Restart, and Incrementality		conference-paper
25	W2751239020	2017	https://doi.org/10.1145/3110269	SpaceSearch: a library for building and verifying solver-aided tools	Proceedings of the ACM on Programming Languages	article
26	W2751650279	2017	https://doi.org/10.1145/3102071.3102084	Synthesizing interpretable strategies for solving puzzle games		conference-paper
27	W2753416529	2017	https://doi.org/10.1017/s0956796817000107	Fair enumeration combinators	Journal of Functional Programming	article
28	W2768658963	2017	https://doi.org/10.1007/978-3-319-73721-8_13	Refinement Types for Ruby	Lecture notes in computer science	conference-paper
29	W2787976344	2018	https://doi.org/10.1145/3127323	A programmable programming language	Communications of the ACM	article
30	W2898543817	2018	https://doi.org/10.1145/3276519	Finding code that explodes under symbolic evaluation	Proceedings of the ACM on Programming Languages	article
31	W2935677582	2019	https://doi.org/10.1145/3297858.3304027	Puddle		conference-paper
32	W2974073952	2019	https://doi.org/10.1145/3341301.3359641	Scaling symbolic evaluation for automated verification of systems code with Serval		conference-paper
33	W3010081385	2014	https://doi.org/10.1145/2714064.2660208	Smten with satisfiability-based search	ACM SIGPLAN Notices	article
34	W3011737828	2014	https://doi.org/10.1145/2666356.2594340	A lightweight symbolic virtual machine for solver-aided host languages	ACM SIGPLAN Notices	article
35	W3033206483	2020	https://doi.org/10.1145/3385412.3386014	Gillian, part i: a multi-language platform for symbolic execution		conference-paper
36	W3034071395	2020	https://doi.org/10.1145/3385412.3385985	Validating SMT solvers via semantic fusion		conference-paper
37	W4245618235	2017	https://doi.org/10.1145/3140587.3062353	Synthesizing memory models from framework sketches and Litmus tests	ACM SIGPLAN Notices	article
38	W4246691913	2011	https://doi.org/10.1007/978-3-642-22110-1_14	CVC4	Lecture notes in computer science	conference-paper
39	W4252567017	1993	https://doi.org/10.1145/173262.155113	The essence of compiling with continuations	ACM SIGPLAN Notices	article
