rank	openalex_id	year	doi	title	venue	type
1	W3194184668	2021	https://doi.org/10.1145/3468264.3468600	VarFix: balancing edit expressiveness and search effectiveness in automated program repair		conference-paper
2	W4282569378	2022	https://doi.org/10.1109/icst53961.2022.00034	A Qualitative Study on the Sources, Impacts, and Mitigation Strategies of Flaky Tests		conference-paper
3	W4284705042	2022	https://doi.org/10.1145/3510003.3510043	On debugging the performance of configurable software systems	Proceedings of the 44th International Conference on Software Engineering	conference-paper
4	W3157942549	2021	https://doi.org/10.1016/j.jss.2021.110990	Evaluating T-wise testing strategies in a community-wide dataset of configurable software systems	Journal of Systems and Software	article
5	W4391341613	2024	https://doi.org/10.1109/tse.2024.3359969	Accelerating Patch Validation for Program Repair With Interception-Based Execution Scheduling	IEEE Transactions on Software Engineering	article
6	W3112840095	2020	https://doi.org/10.3390/app10238686	Efficient Regression Testing of Software Product Lines by Reducing Redundant Test Executions	Applied Sciences	article
7	W4384157259	2023	https://doi.org/10.1007/s10664-023-10344-5	Program transformation landscapes for automated program modification using Gin	Empirical Software Engineering	article
8	W4205415629	2021	https://doi.org/10.1109/ase51524.2021.9678827	Faster Mutation Analysis with Fewer Processes and Smaller Overheads	2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE)	conference-paper
9	W4386183368	2023	https://doi.org/10.1145/3579027.3608983	Reusing Your Favourite Analysis Framework to Handle Workflows of Product Line Models		conference-paper
10	W4406308381	2025	https://doi.org/10.1145/3712193	How Low Can We Go? Minimizing Interaction Samples for Configurable Systems	ACM Transactions on Software Engineering and Methodology	article
11	W2898665208	2018	https://doi.org/10.1145/3236024.3264837	Beyond testing configurable systems: applying variational execution to automatic program repair and higher order mutation testing		conference-paper
12	W3199560344	2021	https://doi.org/10.1109/tse.2021.3113859	A Variability Fault Localization Approach for Software Product Lines	IEEE Transactions on Software Engineering	article
13	W4224222764	2022	https://doi.org/10.3390/electronics11071165	Reducing Redundant Test Executions in Software Product Line Testing—A Case Study	Electronics	article
14	W4401866241	2024	https://doi.org/10.1016/j.jss.2024.112152	Automated program repair for variability bugs in software product line systems	Journal of Systems and Software	article
15	W4405187967	2024	https://doi.org/10.1016/j.jss.2024.112280	A structural taxonomy for lifted software product line analyses	Journal of Systems and Software	article
16	W2898370077	2018	https://doi.org/10.1145/3278122.3278127	Exploring feature interactions without specifications: a controlled experiment		conference-paper
17	W4244955996	2020	https://doi.org/10.1145/3393934.3278127	Exploring feature interactions without specifications: a controlled experiment	ACM SIGPLAN Notices	article
18	W4310214319	2022	https://doi.org/10.1007/s10664-022-10217-3	Variational satisfiability solving: efficiently solving lots of related SAT problems	Empirical Software Engineering	article
19	W4388212585	2023	https://doi.org/10.1109/issre59848.2023.00079	Do Mutations of Strongly Subsuming Second-Order Mutants Really Mask Each Other?		conference-paper
20	W4403223415	2024	https://doi.org/10.1145/3689747	On the Expressive Power of Languages for Static Variability	Proceedings of the ACM on Programming Languages	article
21	W4403536704	2024	https://doi.org/10.1145/3691620.3695490	Blackbox Observability of Features and Feature Interactions		conference-paper
22	W2955614276	2019	https://doi.org/10.1109/icse-nier.2019.00035	Conditional Compilation is Dead, Long Live Conditional Compilation!		conference-paper
23	W3015125623	2020	https://doi.org/10.1145/3368089.3409713	Efficiently finding higher-order mutants		conference-paper
24	W3094067805	2020	https://doi.org/10.1145/3382025.3414725	Testing configurable software systems		conference-paper
25	W4375957525	2023	https://doi.org/10.48550/arxiv.2305.03955	Accelerating Patch Validation for Program Repair with Interception-Based Execution Scheduling	arXiv (Cornell University)	preprint
26	W3030227111	2020	https://doi.org/10.1109/csf49147.2020.00013	Transparent IFC Enforcement: Possibility and (In)Efficiency Results		conference-paper
27	W4399500452	2024	https://doi.org/10.15625/1813-9663/19694	CLUE: A CLUSTERING-BASED TEST REDUCTION APPROACH FOR SOFTWARE PRODUCT LINES	Journal of Computer Science and Cybernetics	article
