rank	openalex_id	year	doi	title	venue	type
1	W40096707	1999		An Abstract Machine for Curry and Its Concurrent Implementation in Java.		article
2	W52871464	1992	https://doi.org/10.18725/oparu-1061	A universal unification algorithm based on unification-driven leftmost outermost narrowing	OPen Access Repositorium der Universität Ulm (OPARU) (Ulm University)	report
3	W100098737	1985		Narrowing as the Operational Semantics of Functional Languages.	SLP	article
4	W134953795	1986		EQLOG: Equality, Types, and Generic Modules For Logic Programming.		article
5	W155273981	1985		SLOG: A Logic Programming Language Interpreter Based on Clausal Superposition and Rewriting.	SLP	article
6	W1520096901	1993		Functional Programming and Parallel Graph Rewriting	Medical Entomology and Zoology	book
7	W1576882193	1995	https://doi.org/10.1007/3-540-59200-8_47	On narrowing, refutation proofs and constraints	Lecture notes in computer science	conference-paper
8	W1725485945	1993	https://doi.org/10.7551/mitpress/4313.003.0004	Implementation of Narrowing: The Prolog-Based Approach	The MIT Press eBooks	book-chapter
9	W1949546655	1993		The adequacy of term graph rewriting for simulating term rewriting	Centrum Wiskunde & Informatica (CWI), the national research institute for mathematics and computer science in the Netherlands	book-chapter
10	W1984716525	1997	https://doi.org/10.1017/s0956796897002645	Leftmost outside-in narrowing calculi	Journal of Functional Programming	article
11	W1985147107	1991	https://doi.org/10.1016/0022-0000(91)90039-8	Unification modulo an equality theory for equational logic programming	Journal of Computer and System Sciences	article
12	W2021173362	1982	https://doi.org/10.1016/0022-0000(82)90006-x	Proofs by induction in equational theories with constructors	Journal of Computer and System Sciences	article
13	W2022647944	1997	https://doi.org/10.1145/263699.263710	A unified computation model for functional and logic programming		conference-paper
14	W2025170645	1979	https://doi.org/10.1145/322108.322122	Minimal and Optimal Computations of Recursive Programs	Journal of the ACM	article
15	W2031825596	1994	https://doi.org/10.1007/bf01190830	Completeness results for basic narrowing	Applicable Algebra in Engineering Communication and Computing	article
16	W2048748607	1974	https://doi.org/10.1145/321850.321859	Automated Theorem-Proving for Theories with Simplifiers Commutativity, and Associativity	Journal of the ACM	article
17	W2053719172	1992	https://doi.org/10.1016/0743-1066(92)90024-w	Logic programming with functions and predicates: The language Babel	The Journal of Logic Programming	article
18	W2056637458	1989	https://doi.org/10.1016/s0747-7171(89)80014-8	Basic narrowing revisited	Journal of Symbolic Computation	article
19	W2059799630	1994	https://doi.org/10.1016/0743-1066(94)90034-5	The integration of functions into logic programming: From theory to practice	The Journal of Logic Programming	article
20	W2061708450	1998	https://doi.org/10.1006/jsco.1997.0197	A Deterministic Lazy Narrowing Calculus	Journal of Symbolic Computation	article
21	W2063080606	1984	https://doi.org/10.1145/800017.800518	Stop losing sleep over incomplete data type specifications		conference-paper
22	W2072132721	1998	https://doi.org/10.1016/s0020-0190(98)00016-7	Strongly sequential and inductively sequential term rewriting systems	Information Processing Letters	article
23	W2078852650	1991	https://doi.org/10.1016/0022-0000(91)90009-t	Kernel-LEAF: A logic plus functional language	Journal of Computer and System Sciences	article
24	W2099311809	1986		Computational semantics of term rewriting systems	Cambridge University Press eBooks	book
25	W2102574149	1993	https://doi.org/10.1006/inco.1993.1026	Programming in Equational Logic: Beyond Strong Sequentiality	Information and Computation	article
26	W2106105719	1989	https://doi.org/10.1007/bfb0015791	Foundations of Equational Logic Programming	Lecture notes in computer science	conference-paper
27	W2134338128	1978	https://doi.org/10.1007/bf00260922	The algebraic specification of abstract data types	Acta Informatica	article
28	W2138364864	1996	https://doi.org/10.1016/0304-3975(96)00071-0	Lazy narrowing: Strong completeness and eager variable elimination	Theoretical Computer Science	article
29	W2141456237	1990	https://doi.org/10.1016/0304-3975(90)90032-d	On completeness of narrowing strategies	Theoretical Computer Science	article
30	W2158205039	1991	https://doi.org/10.1016/s0747-7171(08)80124-1	Sequentiality in orthogonal term rewriting systems	Journal of Symbolic Computation	article
31	W2167316540	1986	https://doi.org/10.1016/0022-0000(86)90033-4	Conditional rewrite rules: Confluence and termination	Journal of Computer and System Sciences	article
32	W7047755185			Higher-order extensions to Prolog- are they needed	OpenGrey (Institut de l'Information Scientifique et Technique)	report
