rank	openalex_id	year	doi	title	venue	type
1	W1520727875	2001	https://doi.org/10.1007/978-1-4757-3326-6_23	Formal verification of VHDL using VHDL-like ACL2 models		book-chapter
2	W1969470284	2000	https://doi.org/10.1145/337292.337411	Symbolic timing simulation using cluster scheduling		conference-paper
3	W1976654267	1994	https://doi.org/10.5555/198174.198332	Computing binary decision diagrams for VHDL data types	European Design Automation Conference	conference-paper
4	W1986558678	1995	https://doi.org/10.1007/bf01383966	Formal verification by symbolic evaluation of partially-ordered trajectories	Formal Methods in System Design	article
5	W2080267935	1986	https://doi.org/10.1109/tc.1986.1676819	Graph-Based Algorithms for Boolean Function Manipulation	IEEE Transactions on Computers	article
6	W2132055325	1994	https://doi.org/10.1145/196244.196575	Formally verifying a microprocessor using a simulation methodology		conference-paper
7	W2144928994	1991	https://doi.org/10.1145/127601.127701	Formal hardware verification by symbolic ternary trajectory evaluation		conference-paper
8	W2147499182	1996	https://doi.org/10.5555/244522.244947	Generation of BDDs from hardware algorithm descriptions	International Conference on Computer Aided Design	conference-paper
9	W2165513287	2000	https://doi.org/10.1145/337292.337336	Reliable verification using symbolic simulation with scalar values		conference-paper
10	W2255815563	2001	https://doi.org/10.1007/978-1-4757-3281-8_6	Symbolic Simulation and Verification of VHDL with ACL2		book-chapter
