rank	openalex_id	year	doi	title	venue	type
1	W1577404745	2007	https://doi.org/10.1007/s10009-007-0044-z	The software model checker Blast	International Journal on Software Tools for Technology Transfer	article
2	W1591856965	2007	https://doi.org/10.1007/978-3-540-73368-3_51	Configurable Software Verification: Concretizing the Convergence of Model Checking and Program Analysis	Lecture notes in computer science	conference-paper
3	W1592502301	2002	https://doi.org/10.1007/3-540-45657-0_7	Modeling and Verifying Systems Using a Logic of Counter Arithmetic with Lambda Expressions and Uninterpreted Functions	Lecture notes in computer science	conference-paper
4	W1971388424	1994	https://doi.org/10.1145/174675.177907	Value dependence graphs		conference-paper
5	W1971719033	2007	https://doi.org/10.1145/1273463.1273464	Under-constrained execution		conference-paper
6	W1982205631	1991	https://doi.org/10.1145/115372.115320	Efficiently computing static single assignment form and the control dependence graph	ACM Transactions on Programming Languages and Systems	article
7	W1991837261	2002	https://doi.org/10.1145/514188.514190	Parametric shape analysis via 3-valued logic	ACM Transactions on Programming Languages and Systems	article
8	W1992431017	2001	https://doi.org/10.1145/360204.360220	Avoiding exponential explosion		conference-paper
9	W2009489720	2005	https://doi.org/10.1145/1081706.1081750	CUTE		conference-paper
10	W2029940726	2006	https://doi.org/10.1007/s10766-005-0004-8	Embedded Software Verification Using Symbolic Execution and Uninterpreted Functions	International Journal of Parallel Programming	article
11	W2040832338	1985	https://doi.org/10.1016/0164-1212(85)90004-4	Applications of symbolic evaluation	Journal of Systems and Software	article
12	W2054383157	2006	https://doi.org/10.1145/1178625.1178628	Efficient path conditions in dependence graphs for software safety analysis	ACM Transactions on Software Engineering and Methodology	article
13	W2060389212	2001	https://doi.org/10.1145/367008.367022	Interprocedural control dependence	ACM Transactions on Software Engineering and Methodology	article
14	W2074888021	2008	https://doi.org/10.1145/1453101.1453131	Differential symbolic execution		conference-paper
15	W2096449544	2005	https://doi.org/10.1145/1064978.1065036	DART	ACM SIGPLAN Notices	article
16	W2101512909	1976	https://doi.org/10.1145/360248.360252	Symbolic execution and program testing	Communications of the ACM	article
17	W2103953153	1976		A Discipline of Programming		article
18	W2107794009	2006	https://doi.org/10.1145/1181775.1181790	SYNERGY		conference-paper
19	W2109276114	1976	https://doi.org/10.1109/tse.1976.233817	A System to Generate Test Data and Symbolically Execute Programs	IEEE Transactions on Software Engineering	article
20	W2109394703	2005	https://doi.org/10.1145/1081706.1081742	Joining dataflow with predicates		conference-paper
21	W2112158213	2006	https://doi.org/10.1109/taic-part.2006.18	MATRIX: Maintenance-Oriented Testing Requirements Identifier and Examiner		conference-paper
22	W2114337691	2009	https://doi.org/10.1145/1542476.1542517	Snugglebug		conference-paper
23	W2114345296	2009	https://doi.org/10.1109/dsn.2009.5270315	Fitness-guided path exploration in dynamic symbolic execution		conference-paper
24	W2118092766	2007	https://doi.org/10.1145/1321631.1321682	Efficiently monitoring data-flow test coverage		conference-paper
25	W2127574686	2003	https://doi.org/10.1145/876638.876643	Counterexample-guided abstraction refinement for symbolic model checking	Journal of the ACM	article
26	W2138856138	2008	https://doi.org/10.1145/1348250.1348256	Combining symbolic execution with model checking to verify parallel numerical programs	ACM Transactions on Software Engineering and Methodology	article
27	W2144344516	1987	https://doi.org/10.1145/24039.24041	The program dependence graph and its use in optimization	ACM Transactions on Programming Languages and Systems	article
28	W2146178292	2008	https://doi.org/10.1145/1368088.1368127	DySy		conference-paper
29	W2150874411	2009	https://doi.org/10.1109/icse.2009.5070515	Accurate Interprocedural Null-Dereference Analysis for Java		conference-paper
30	W2152492994	2005	https://doi.org/10.1145/1108768.1108813	Weakest-precondition of unstructured programs	ACM SIGSOFT Software Engineering Notes	article
31	W2155621670	2007	https://doi.org/10.1145/1287624.1287653	Finding bugs efficiently with a SAT solver		conference-paper
32	W2158798798	2008	https://doi.org/10.1145/1368088.1368118	Calysto		conference-paper
33	W2162284942	2012	https://doi.org/10.1145/2442776.2442783	Automatic predicate abstraction of C programs	ACM SIGPLAN Notices	article
34	W2162449808	2006	https://doi.org/10.1145/1181775.1181809	Lightweight extraction of syntactic specifications		conference-paper
35	W2168625647	2008	https://doi.org/10.1109/ase.2008.32	Test-Suite Augmentation for Evolving Software		conference-paper
36	W2171469152	2008	https://doi.org/10.1007/978-3-540-78800-3_28	Demand-Driven Compositional Symbolic Execution	Lecture notes in computer science	conference-paper
37	W2171480813	2003	https://doi.org/10.1023/a:1022920129859	Model Checking Programs	Automated Software Engineering	article
38	W2295349525	2005	https://doi.org/10.1145/1064978.1065016	Path slicing	ACM SIGPLAN Notices	article
39	W3106729728	2001	https://doi.org/10.1109/32.908957	Dynamically discovering likely program invariants to support program evolution	IEEE Transactions on Software Engineering	article
40	W4233804448	2005	https://doi.org/10.1145/1108792.1108813	Weakest-precondition of unstructured programs		conference-paper
41	W4237492309	2005	https://doi.org/10.1145/1065010.1065036	DART		conference-paper
42	W4242057943	2001	https://doi.org/10.1145/378795.378846	Automatic predicate abstraction of C programs		conference-paper
43	W4253587022	2005	https://doi.org/10.1145/1065010.1065016	Path slicing		conference-paper
