rank	openalex_id	year	doi	title	venue	type
1	W1979345446	2013	https://doi.org/10.1016/j.jss.2013.02.061	An orchestrated survey of methodologies for automated software test case generation	Journal of Systems and Software	article
2	W2161963160	2012	https://doi.org/10.1145/2393596.2393666	Automated concolic testing of smartphone apps		conference-paper
3	W2085577046	2013	https://doi.org/10.1145/2508859.2516676	AppIntent		conference-paper
4	W2152565783	2011	https://doi.org/10.1145/1993316.1993558	Directed incremental symbolic execution	ACM SIGPLAN Notices	article
5	W2078988604	2013	https://doi.org/10.1007/s10515-013-0122-2	Symbolic PathFinder: integrating symbolic execution with model checking for Java bytecode analysis	Automated Software Engineering	article
6	W4236799059	2011	https://doi.org/10.1145/1993498.1993558	Directed incremental symbolic execution		conference-paper
7	W2155539595	2011	https://doi.org/10.1145/2001420.2001425	Symbolic execution with mixed concrete-symbolic solving		conference-paper
8	W2139459831	2013		An Orchestrated Survey on Automated Software Test Case Generation I		article
9	W2471111208	2016	https://doi.org/10.1109/tse.2016.2584063	Dependence Guided Symbolic Execution	IEEE Transactions on Software Engineering	article
10	W2001601301	2011	https://doi.org/10.1145/2025113.2025152	Path exploration based on symbolic output		conference-paper
11	W2161053231	2011	https://doi.org/10.1109/icst.2011.46	Applying aggressive propagation-based strategies for testing changes		conference-paper
12	W2123327468	2011	https://doi.org/10.1145/1993316.1993551	<i>kb</i> -anonymity	ACM SIGPLAN Notices	article
13	W1968023441	2015	https://doi.org/10.5555/2818754.2818831	DASE: document-assisted symbolic execution for improving automated software testing		article
14	W2137243652	2013	https://doi.org/10.1145/2487568.2487574	DUA-forensics		conference-paper
15	W7061239	2013	https://doi.org/10.1007/978-3-319-02444-8_15	Compact Symbolic Execution	Lecture notes in computer science	conference-paper
16	W4399851298	2024	https://doi.org/10.1145/3656443	Compatible Branch Coverage Driven Symbolic Execution for Efficient Bug Finding	Proceedings of the ACM on Programming Languages	article
17	W2006860739	2014	https://doi.org/10.1145/2629536	Directed Incremental Symbolic Execution	ACM Transactions on Software Engineering and Methodology	article
18	W4242156770	2015	https://doi.org/10.1109/icse.2015.78	DASE: Document-Assisted Symbolic Execution for Improving Automated Software Testing		conference-paper
19	W2071067812	2013	https://doi.org/10.1145/2522920.2522925	Path exploration based on symbolic output	ACM Transactions on Software Engineering and Methodology	article
