rank	openalex_id	year	doi	title	venue	type
1	W157156687	2008		Automated Whitebox Fuzz Testing.		article
2	W1480909796	2008	https://doi.org/10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	Lecture notes in computer science	conference-paper
3	W1497028280	2008	https://doi.org/10.1007/978-3-540-78800-3_27	RWset: Attacking Path Explosion in Constraint-Based Test Generation	Lecture notes in computer science	conference-paper
4	W1526710119	2012	https://doi.org/10.1002/stvr.1486	A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering	Software Testing Verification and Reliability	article
5	W1561959476	2015	https://doi.org/10.1109/icst.2015.7102601	Postconditioned Symbolic Execution		conference-paper
6	W1589776562	2000	https://doi.org/10.1007/3-540-44905-1_18	A Precise Fixpoint Reaching Definition Analysis for Arrays	Lecture notes in computer science	conference-paper
7	W1710734607	2008	https://doi.org/10.5555/1855741.1855756	KLEE: unassisted and automatic generation of high-coverage tests for complex systems programs		article
8	W1900305658	2013	https://doi.org/10.1002/stvr.1501	Demand‐driven propagation‐based strategies for testing changes	Software Testing Verification and Reliability	article
9	W1963739845	2014	https://doi.org/10.1145/2642937.2642951	Targeted test input generation using symbolic-concrete backward execution		conference-paper
10	W2002758617	2014	https://doi.org/10.1145/2635868.2635872	How we get there: a context-guided search strategy in concolic testing		conference-paper
11	W2006860739	2014	https://doi.org/10.1145/2629536	Directed Incremental Symbolic Execution	ACM Transactions on Software Engineering and Methodology	article
12	W2008812751	2010	https://doi.org/10.1145/1831708.1831733	Exploiting program dependencies for scalable multiple-path symbolic execution		conference-paper
13	W2009489720	2005	https://doi.org/10.1145/1081706.1081750	CUTE		conference-paper
14	W2009956228	2014	https://doi.org/10.1145/2635868.2635889	Solving complex path conditions through heuristic search on induced polytopes		conference-paper
15	W2013711971	2005	https://doi.org/10.1145/1062455.1062530	Is mutation an appropriate tool for testing experiments?		conference-abstract
16	W2017035494	2013	https://doi.org/10.1145/2491411.2491456	Z3-str: a z3-based string solver for web application analysis		conference-paper
17	W2020689607	2011	https://doi.org/10.1145/2001420.2001422	eXpress		conference-paper
18	W2035603501	2012	https://doi.org/10.1109/icsm.2012.6405261	A change impact analysis to characterize evolving program behaviors		conference-paper
19	W2043512166	2015	https://doi.org/10.5555/2818754.2818788	A synergistic analysis method for explaining failed regression tests	International Conference on Software Engineering	conference-paper
20	W2047694629	2010	https://doi.org/10.1145/1858996.1859035	Symbolic PathFinder		conference-paper
21	W2050886219	2012	https://doi.org/10.1145/2384616.2384654	Scaling symbolic execution using ranged analysis		conference-paper
22	W2052844069	2012	https://doi.org/10.1145/2211616.2211622	DARWIN	ACM Transactions on Software Engineering and Methodology	article
