rank	openalex_id	year	doi	title	venue	type
1	W2791541601	2018	https://doi.org/10.1109/tifs.2018.2806891	Android Malware Familial Classification and Representative Sample Selection via Frequent Subgraph Analysis	IEEE Transactions on Information Forensics and Security	article
2	W3019428952	2020	https://doi.org/10.1145/3377811.3380396	MemLock		conference-paper
3	W3019415692	2020	https://doi.org/10.1145/3377811.3380386	Typestate-guided fuzzer for discovering use-after-free vulnerabilities		conference-paper
4	W3128660473	2020	https://doi.org/10.1109/tdsc.2020.3037332	Oracle-Supported Dynamic Exploit Generation for Smart Contracts	IEEE Transactions on Dependable and Secure Computing	article
5	W4226082220	2022	https://doi.org/10.1109/tse.2022.3171288	Evaluating the Impact of Possible Dependencies on Architecture-Level Maintainability	IEEE Transactions on Software Engineering	article
6	W3105410168	2020	https://doi.org/10.1145/3368089.3409734	Java Ranger: statically summarizing regions for efficient symbolic execution of Java		conference-paper
7	W4399851298	2024	https://doi.org/10.1145/3656443	Compatible Branch Coverage Driven Symbolic Execution for Efficient Bug Finding	Proceedings of the ACM on Programming Languages	article
8	W2743702233	2017	https://doi.org/10.1007/s11219-017-9385-3	A systematic survey on automated concurrency bug detection, exposing, avoidance, and fixing techniques	Software Quality Journal	article
9	W2904096920	2018	https://doi.org/10.1007/978-3-662-58611-2_5	GuruWS: A Hybrid Platform for Detecting Malicious Web Shells and Web Application Vulnerabilities	Lecture notes in computer science	conference-paper
10	W2953598967	2019	https://doi.org/10.1145/3338906.3338966	Locating vulnerabilities in binaries via memory layout recovering		conference-paper
11	W2528040273	2018	https://doi.org/10.1145/3182657	A Survey of Symbolic Execution Techniques	ACM Computing Surveys	article
12	W3205083328	2021	https://doi.org/10.1007/978-3-030-88806-0_3	Backward Symbolic Execution with Loop Folding	Lecture notes in computer science	conference-paper
13	W3207393608	2021	https://doi.org/10.1145/3471621.3471852	LeanSym: Efficient Hybrid Fuzzing Through Conservative Constraint Debloating		conference-paper
14	W3027138722	2020	https://doi.org/10.1016/j.csi.2020.103444	A Systematic Review of Search Strategies in Dynamic Symbolic Execution	Computer Standards & Interfaces	review
15	W2893160992	2018	https://doi.org/10.1109/tse.2018.2871666	Tell You a Definite Answer: Whether Your Data is Tainted During Thread Scheduling	IEEE Transactions on Software Engineering	article
16	W4402443092	2024	https://doi.org/10.1145/3650212.3680303	LENT-SSE: Leveraging Executed and Near Transactions for Speculative Symbolic Execution of Smart Contracts		conference-paper
17	W4409362304	2025	https://doi.org/10.1142/s0218194025300027	A Systematic Literature Review of Software Vulnerability Mining Approaches Based on Symbolic Execution	International Journal of Software Engineering and Knowledge Engineering	review
18	W4411337384	2025	https://doi.org/10.1109/sp61157.2025.00190	Empc: Effective Path Prioritization for Symbolic Execution with Path Cover		conference-paper
19	W2621393611	2017	https://doi.org/10.1007/s11219-017-9369-3	Dynamic structure measurement for distributed software	Software Quality Journal	article
