rank	openalex_id	year	doi	title	venue	type
1	W90023127	2007		Using more reasoning to improve #SAT solving		article
2	W91024833	2007		Conflict-driven answer set solving		article
3	W204808196	2005		A SAT Solver Primer.	Bulletin of the European Association for Theoretical Computer Science	article
4	W1584297074	2007	https://doi.org/10.1007/978-3-540-72200-7_13	Conflict-Driven Answer Set Enumeration	Lecture notes in computer science	conference-paper
5	W1603813317	2007	https://doi.org/10.1007/978-3-540-72788-0	Theory and Applications of Satisfiability Testing – SAT 2007	Lecture notes in computer science	conference-paper
6	W1606891084	2003	https://doi.org/10.1017/cbo9780511543357	Knowledge Representation, Reasoning and Declarative Problem Solving	Cambridge University Press eBooks	book
7	W1608123432	2007	https://doi.org/10.1007/978-3-540-72788-0_28	A Lightweight Component Caching Scheme for Satisfiability Solvers	Lecture notes in computer science	conference-paper
8	W1728966390	2006		Solving Optimization Problems with DLL		article
9	W2033937366	2004		Efficient algorithms for clause-learning SAT solvers	Summit (Simon Fraser University)	dissertation
10	W2044560939	1999	https://doi.org/10.1109/12.769433	GRASP: a search algorithm for propositional satisfiability	IEEE Transactions on Computers	article
11	W2057361103	1962	https://doi.org/10.1145/368273.368557	A machine program for theorem-proving	Communications of the ACM	article
12	W2062897452	1960	https://doi.org/10.1145/321033.321034	A Computing Procedure for Quantification Theory	Journal of the ACM	article
13	W2096307462	2001		Efficient Conflict Driven Learning in a Boolean Satisfiability Solver		article
14	W2110804558	2008	https://doi.org/10.1007/978-3-540-89982-2_19	Detecting Inconsistencies in Large Biological Networks with Answer Set Programming	Lecture notes in computer science	conference-paper
15	W2142785340	2001	https://doi.org/10.1145/378239.379017	Chaff		conference-paper
16	W2177693862	2009	https://doi.org/10.1007/s10601-008-9062-z	Limitations of restricted branching in clause learning	Constraints	article
17	W2337098149	2003		Constraint Processing		article
18	W2426452510	2004	https://doi.org/10.1016/j.engappai.2004.08.021	Constraint processing	Engineering Applications of Artificial Intelligence	article
