rank	openalex_id	year	doi	title	venue	type
1	W1482532598	2011	https://doi.org/10.3233/aic-2011-0491	Potassco: The Potsdam Answer Set Solving Collection	AI Communications	article
2	W2049791401	2012	https://doi.org/10.1016/j.artint.2012.04.001	Conflict-driven answer set solving: From theory to practice	Artificial Intelligence	article
3	W4211177236	2012	https://doi.org/10.2200/s00457ed1v01y201211aim019	Answer Set Solving in Practice	Synthesis lectures on artificial intelligence and machine learning	article
4	W2071784417	2013	https://doi.org/10.1007/978-3-031-01561-8	Answer Set Solving in Practice	Synthesis lectures on artificial intelligence and machine learning	book
5	W1776786831	2011	https://doi.org/10.1007/978-3-642-23786-7_35	Algorithm Selection and Scheduling	Lecture notes in computer science	conference-paper
6	W1484403583	2011	https://doi.org/10.1007/978-3-642-20895-9_39	Advances in gringo Series 3	Lecture notes in computer science	conference-paper
7	W1964680470	2011	https://doi.org/10.1017/s1471068410000554	Detecting inconsistencies in large biological networks with answer set programming	Theory and Practice of Logic Programming	article
8	W2913663319	2014	https://doi.org/10.1007/978-3-319-11230-5	Instance-Specific Algorithm Configuration		book
9	W1721757222	2009	https://doi.org/10.1007/978-3-642-04238-6_50	The Conflict-Driven Answer Set Solver clasp: Progress Report	Lecture notes in computer science	conference-paper
10	W2118622620	2016	https://doi.org/10.1145/2975585	Implementing Efficient All Solutions SAT Solvers	ACM Journal of Experimental Algorithmics	article
11	W1961824217	2015	https://doi.org/10.1017/s1471068415000113	A model building framework for answer set programming with external computations	Theory and Practice of Logic Programming	article
12	W1677519333	2013	https://doi.org/10.1007/978-3-642-41524-1_7	Making Use of Advances in Answer-Set Programming for Abstract Argumentation Systems	Lecture notes in computer science	conference-paper
13	W1487986911	2014	https://doi.org/10.1007/978-3-319-11230-5_9	Evolving Instance-Specific Algorithm Configuration		book-chapter
14	W2804646084	2018	https://doi.org/10.1007/978-3-319-94144-8_11	Exploiting Treewidth for Projected Model Counting and Its Limits	Lecture notes in computer science	conference-paper
15	W2904953947	2019	https://doi.org/10.1609/aaai.v33i01.33011536	A Recursive Algorithm for Projected Model Counting	Proceedings of the AAAI Conference on Artificial Intelligence	conference-paper
16	W2091251097	2011	https://doi.org/10.1017/s1471068411000287	Automatic network reconstruction using ASP	Theory and Practice of Logic Programming	article
17	W4293180254	2022	https://doi.org/10.1007/978-3-031-15707-3_4	Statistical Statements in Probabilistic Logic Programming	Lecture notes in computer science	conference-paper
18	W1555419827	2009	https://doi.org/10.1007/978-3-642-02846-5_27	Metabolic Network Expansion with Answer Set Programming	Lecture notes in computer science	conference-paper
19	W1628148094	2012	https://doi.org/10.1016/j.artint.2012.07.006	On minimal constraint networks	Artificial Intelligence	article
20	W2555981498	2016	https://doi.org/10.3233/fi-2016-1398	Answer Set Programming Modulo Acyclicity*	Fundamenta Informaticae	article
21	W2924142368	2019	https://doi.org/10.1007/978-3-030-20528-7_9	Treewidth and Counting Projected Answer Sets	Lecture notes in computer science	conference-paper
22	W2999944813	2020	https://doi.org/10.1016/j.artint.2019.103229	Definability for model counting	Artificial Intelligence	article
23	W1725632631	2011	https://doi.org/10.1007/978-3-642-20895-9_10	Pushing Efficient Evaluation of HEX Programs by Modular Decomposition	Lecture notes in computer science	conference-paper
24	W2805414034	2018	https://doi.org/10.1007/s13218-018-0543-y	Answer Set Programming	K&uuml;nstliche Intell.	article
25	W2549058653	2015		Specific curiosity as a cause and consequence of transformational creativity	ICCC	article
26	W3080805160	2020	https://doi.org/10.24963/kr.2020/49	Treewidth-aware Reductions of Normal ASP to SAT - Is Normal ASP Harder than SAT after All?		conference-paper
27	W2232112468	2015	https://doi.org/10.1007/978-3-319-24318-4_10	$$\#\exists $$SAT: Projected Model Counting	Lecture notes in computer science	conference-paper
28	W114760959	2013	https://doi.org/10.1007/978-3-642-41010-9_4	Boolean Quantifier Elimination for Automotive Configuration – A Case Study	Lecture notes in computer science	conference-paper
29	W2108690736	2010	https://doi.org/10.1007/978-3-642-15396-9_25	Exact Cover via Satisfiability: An Empirical Study	Lecture notes in computer science	conference-paper
30	W2237679549	2015	https://doi.org/10.1007/978-3-319-23264-5_13	Answer Set Programming Modulo Acyclicity	Lecture notes in computer science	conference-paper
31	W2904298505	2018	https://doi.org/10.1109/ictai.2018.00111	Dualizing Projected Model Counting		conference-paper
32	W2183957662	2013	https://doi.org/10.1007/978-3-642-40885-4_8	Abduction in Logic Programming as Second-Order Quantifier Elimination	Lecture notes in computer science	conference-paper
33	W4285605945	2022	https://doi.org/10.24963/ijcai.2022/363	Plausibility Reasoning via Projected Answer Set Counting - A Hybrid Approach		conference-paper
34	W4323903875	2023	https://doi.org/10.1007/978-3-031-27181-6_29	MAP Inference in Probabilistic Answer Set Programs	Lecture notes in computer science	conference-paper
35	W3008962280	2020	https://doi.org/10.1017/s1471068420000022	selp: <i>A Single-Shot Epistemic Logic Program Solver</i>	Theory and Practice of Logic Programming	article
36	W4410533747	2025	https://doi.org/10.1007/s10994-025-06780-7	Learning answer set programs with aggregates via sampling and genetic programming	Machine Learning	article
37	W4404194767	2024	https://doi.org/10.1017/s1471068424000437	Probabilistic Answer Set Programming with Discrete and Continuous Random Variables	Theory and Practice of Logic Programming	article
38	W4404247671	2024	https://doi.org/10.1007/978-3-031-76235-2_17	Inconsistency Measurement in LTL$$_{\text {f}}$$ Based on Minimal Inconsistent Sets and Minimal Correction Sets	Lecture notes in computer science	conference-paper
