rank	source_id	year	doi	title	venue	type
1	17e647788449d7c56f02e3c6c576f71852985511	2023	10.1145/3607845	The Verse Calculus: A Core Calculus for Deterministic Functional Logic Programming	Proc. ACM Program. Lang.	JournalArticle
2	6ec5b1fbaf25e7252965dcf36e435818ba4c99f8	2022	10.1145/3551357.3551370	A Monadic Implementation of Functional Logic Programs	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	Book
3	fe0a69a57676920ac2e72df2a72b5e99b3f49dda	2021	10.1145/3479394.3479411	From Non-determinism to Goroutines: A Fair Implementation of Curry in Go	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
4	da407a1fa736b89bea5f54731f4a6b2fa8c22963	2020	10.1007/978-3-030-75333-7_4	Memoized Pull-Tabbing for Functional Logic Programming	Workshop on Functional and Constraint Logic Programming	JournalArticle
5	ca289bee42f9e94521a22e032ffcf154c7de2443	2019	10.1007/978-3-030-46714-2_18	ICurry	DECLARE	JournalArticle
6	e2120cb78771dca82fefca5a1c892d952c7534eb	2018		Making Bubbling Practical	arXiv.org	JournalArticle
7	2c598d60d45e6a93acb761797c5b93e44186370d	2016	10.1007/978-3-319-63139-4_6	A New Functional-Logic Compiler for Curry: Sprite	International Workshop/Symposium on Logic-based Program Synthesis and Transformation	JournalArticle
8	947997b9833e52ae0972b7e35992bfb97dc3c703	2014	10.1145/2643135.2643147	Parametricity and Proving Free Theorems for Functional-Logic Languages	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
9	ee44cf736b71cb4859fba8f869c602dab95693da	2013	10.1007/978-3-319-14125-1_12	Compiling a Functional Logic Language: The Fair Scheme	International Workshop/Symposium on Logic-based Program Synthesis and Transformation	JournalArticle
10	8d3b7e3d120c39feb70d9a890457945c9a2f4784	2013	10.1145/2505879.2505896	A semantics for weakly encapsulated search in functional logic programs	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
11	570a6bfa7711c948a4459fc8d093845847f66347	2013	10.1145/2505879.2505881	Are needed redexes really needed?	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
12	dc996ed9c17b643d2ce8444350ebf50e672743eb	2012		Implementing Functional Logic Programs by Translation into Purely Functional Programs		
13	7f9e1f99f01557d9f77a5507f075cad3e76086e2	2012	10.1007/978-3-642-29822-6_5	Compiling a Functional Logic Language: The Basic Scheme	Fuji International Symposium on Functional and Logic Programming	JournalArticle
14	8615805892333dab0cbb317bf4749f04d3c4f199	2011	10.1007/978-3-642-45284-0_9	Implementing Equational Constraints in a Functional Language	International Symposium on Practical Aspects of Declarative Languages	JournalArticle
15	3747c4b08ab574c641e3713784f8d0a3ddef9529	2011	10.1007/978-3-642-22531-4_1	KiCS2: A New Compiler from Curry to Haskell	Workshop on Functional and Constraint Logic Programming	JournalArticle
16	801c96bb86a4b1577c06b89625a926dd45a3e3cf	2011	10.1017/S1471068411000263	On the correctness of pull-tabbing	Theory and Practice of Logic Programming	JournalArticle
17	4d8ca4bcb9e53d91358d8553cddfe7430e9f8753	2010	10.1016/j.entcs.2010.08.039	A Natural Implementation of Plural Semantics in Maude	Workshop on Language Descriptions, Tools and Applications	JournalArticle
18	72a39fc91de366143faae7deaeadf2ff8e0adaea	2010	10.1145/1721654.1721675	Functional logic programming	CACM	JournalArticle
19	e681af62ac7361f1f277ab3e56efe34d4575e198	2010	10.1145/1706356.1706373	Programming with singular and plural non-deterministic functions	ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation	JournalArticle
20	d982424f16695e8e606087ff4615f78546ae1f92	2010	10.1007/978-3-642-20775-4_7	An Adequate, Denotational, Functional-Style Semantics for Typed FlatCurry	Workshop on Functional and Constraint Logic Programming	JournalArticle
21	a64915cbc24116c239bb50985bda22f4dc54b96c	2009	10.1145/1599410.1599420	Set functions for functional logic programming	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	JournalArticle
22	0e7f2c50835f71b6b2e2cc79310cab84ee5c8e48	2009	10.1145/1596550.1596556	Purely functional lazy non-deterministic programming	Journal of functional programming	JournalArticle
23	45622b3d52703b227b175c5946b2eeda668161c8	2009	10.1016/j.entcs.2009.07.014	A Technique to Build Debugging Tools for Lazy Functional Logic Languages	Workshop on Functional and Constraint Logic Programming	JournalArticle
24	5d4086f4f44b69f3d2004cd63f7834769d68147f	2009	10.1007/978-3-642-02348-4_23	A Fully Abstract Semantics for Constructor Systems	International Conference on Rewriting Techniques and Applications	JournalArticle
25	3055f4510e51a020e479a258d6f884d64eee67cb	2009	10.1007/978-3-642-00675-3_13	The Kiel Curry System KiCS	INAP/WLP	JournalArticle
26	5a2ada95e43dc1b4a65bfc18bea02c7bdaef8c31	2009	10.1007/978-3-642-00675-3_14	Narrowing for First Order Functional Logic Programs with Call-Time Choice Semantics	INAP/WLP	JournalArticle
27	9e595813d6af14cdb30f7f6327cf9886c0a5623c	2008	10.1007/978-3-642-24452-0_2	From Functional Logic Programs to Purely Functional Programs Preserving Laziness	International Symposium on Implementation and Application of Functional Languages	JournalArticle
28	23d3d7f355982dd6b5a54aae437054c874f8ea89	2008	10.1145/1389449.1389459	Call pattern analysis for functional logic programs	ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming	Book
29	2ccd5cae172895908c213931bb1248f9e1406642	2008	10.1007/978-3-540-78913-0_5	A Relation Algebraic Semantics for a Lazy Functional Logic Language	RelMiCS	JournalArticle
30	4d164c60ebc13f26a9296530a9c8198582979e6e	2021		Can Logic Programming Be Liberated from Backtracking?		
31	7ade8d7e5de47a3aed65b44f7644cf2c90c7bcae	2020	10.1007/978-3-030-46714-2	Declarative Programming and Knowledge Management: Conference on Declarative Programming, DECLARE 2019, Unifying INAP, WLP, and WFLP, Cottbus, Germany, September 9–12, 2019, Revised Selected Papers	DECLARE	Book
32	d89925d1fd57ab3ae7d8435de4bd3bd6a1a3b732	2018		2 4 A ug 2 01 8 Making Bubbling Practical		
33	4ec73b7e1dafbc47c4155b6a023f2c1f4d62bdbe	2015		Tools for Reasoning about Effectful Declarative Programs		
34	64b4b6caf26d803ee190cffe9142f4bd4f4551b4	2014		Theory and Practice of Logic Programming 1 Singular and Plural Functions for Functional Logic Programming		
35	c05a3d04d95975e8aa5726d20b1506353f2696aa	2013	10.1007/978-3-642-37651-1	Programming Logics	Lecture Notes in Computer Science	
36	4b3df21d0524d7b11347be52cf3277f6c6ce2197	2013	10.1007/978-3-642-37651-1_6	Functional Logic Programming: From Theory to Curry	Programming Logics	JournalArticle
37	d1d56b1c5f63a8df851f987bc99a8de9a0ba4144	2012	10.4230/LIPIcs.ICLP.2012.130	Improving Lazy Non-Deterministic Computations by Demand Analysis	International Conference on Logic Programming	JournalArticle
38	caeabae70bc93471bce5b057f7ad79e3973ace3c	2012	10.1007/978-3-642-29822-6	Functional and Logic Programming	Lecture Notes in Computer Science	
39	26baf3874ce2b004e0909de13df4bd4e86880976	2012		Search strategies for functional logic programming	Software Engineering	JournalArticle
40	637115bf8215f2cef172b46ac9cf7121584c5672	2010		The Pull-Tab Transformation		
41	dbb1e0f49bdb39c2ff72f022673815408f11c051	2010		The Third International Workshop on Graph Computation Models		
42	63e554d31baf0d0bdbb27fbbf034487b064e5ce8	2009		Overview of the Monadic Constraint Programming Framework		Review
43	49b93e902aa1bf7f0cdfd24b7869d9d9a871976e	2009		Language Descriptions Tools and Applications LDTA 2009		
44	7a68dc8ac256d7a6e3535a87d083d0e87e615245	2009		A Fully Abstract Semantics for Constructor Systems		
45	c1371487b2eafb3f25112a280c304009e5286eb2	2007		Towards a Safe Partial Evaluation of Lazy Functional Logic Programs		
