baldoni2016-symbolic	doi:10.1145/3182657
camurati1988formal	doi:10.1109/2.65
jayasena2024directed	doi:10.1145/3638046
carter1979symbolic	doi:10.1109/DAC.1979.1600119
kolbl2001rtl	doi:10.1145/378239.378278
feng2004dynamic	doi:10.1109/DATE.2004.1268825
harrath2011wsa	doi:10.14236/ewic/VECOS2011.11
qin2014interleaving	doi:10.1109/VLSID.2014.25
mukherjee2015software	doi:10.1109/ISVLSI.2015.107
bagri2015restrictive	manual:bagri2015restrictive
lin2016systemc	doi:10.1109/ASPDAC.2016.7428006
zhang2016rtltests	doi:10.1109/ICIEA.2016.7603701
lyu2017quebs	doi:10.1109/ICCD.2017.36
pinto2017factored	manual:pinto2017factored
ahmed2018directed	doi:10.23919/DATE.2018.8342260
shen2018trojan	doi:10.1016/j.cose.2018.07.006
lin2018ctsc	doi:10.1109/ISQED.2018.8357256
zhang2018coppelia	doi:10.1109/MICRO.2018.00071
zhang2018recursive	doi:10.1145/3219763.3219764
ahmed2018trojan	doi:10.1109/TEST.2018.8624854
lyu2019multitarget	doi:10.23919/DATE.2019.8714989
mukherjee2020coverif	arxiv:2001.01324
lin2020selective	doi:10.23919/DATE48585.2020.9116384
lyu2021scalable	doi:10.1109/TC.2020.2997644
jayasena2021assertions	doi:10.1145/3441297
lyu2021soccar	doi:10.1109/DAC18074.2021.9586291
lyu2021fuce	arxiv:2111.00805
debnath2022greycone	doi:10.1109/ITC50671.2022.00059
fowze2022eisec	doi:10.1109/AsianHOST56390.2022.10022071
roy2023slec	doi:10.1007/s10703-023-00414-1
ryan2023sylvia	doi:10.34727/2023/isbn.978-3-85448-060-0_19
ryan2023seif	doi:10.1145/3623652.3623666
bruns2023processor	doi:10.23919/DATE56975.2023.10137202
hu2024tcp	manual:hu2024tcp
zheng2024incremental	doi:10.1145/3655621
jayasena2025fuss	doi:10.1145/3760529
tan2026autoverifix	arxiv:2603.11489
rudkowski2026crosslevel	doi:10.1109/TCAD.2025.3641038
yang2026-forbench	arxiv:2608.01045
petersen2015mapping	doi:10.1016/j.infsof.2015.03.007
wohlin2014snowballing	doi:10.1145/2601248.2601268
